Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,GECoPilot.WinPhone,LocalizedStrings,C:\repos\davevr_GECoPilot\WinPhone\LocalizedStrings.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: LocalizedResources' _localizedResources
Unutilized Abstraction,GECoPilot.WinPhone,LocalizedStrings,C:\repos\davevr_GECoPilot\WinPhone\LocalizedStrings.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,GECoPilot.WinPhone,MainPage,C:\repos\davevr_GECoPilot\WinPhone\MainPage.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
