Implementation smell,Namespace,Class,File,Method,Description
Magic Number,CorpIS.Task1.WpfClient,TcpSocketManager,C:\repos\totzhe_CorpIS\CorpIS.Task1.WpfClient\TcpSocketManager.cs,SendMessage,The following statement contains a magic number: try {  	var remoteEP = new IPEndPoint (IPAddress.Loopback' 11000);  	using (var sender = new Socket (AddressFamily.InterNetwork' SocketType.Stream' ProtocolType.Tcp)) {  		var messenger = new TcpSocketMessenger (sender);  		sender.Connect (remoteEP);  		messenger.SendMessage (msg);  		var response = messenger.ReceiveMessage ();  		//System.Windows.MessageBox.Show(string.Format("{0} {1}"' response.GetType().AssemblyQualifiedName'response.Message));  		_messageHandler.HadleMessage (response);  		sender.Shutdown (SocketShutdown.Both);  	}  }  catch (Exception e) {  	System.Windows.MessageBox.Show (string.Format ("Unexpected exception : {0}"' e.ToString ()));  }  
Magic Number,CorpIS.Task1.WpfClient.ViewModel,CustomerViewModel,C:\repos\totzhe_CorpIS\CorpIS.Task1.WpfClient\ViewModel\CustomerViewModel.cs,AddMoney,The following statement contains a magic number: _socketManager.SendMessage (new ChangeBalanceRequest () {  	Difference = 50'  	CustomerID = _customer.Id  });  
Magic Number,CorpIS.Task1.WpfClient.ViewModel,CustomerViewModel,C:\repos\totzhe_CorpIS\CorpIS.Task1.WpfClient\ViewModel\CustomerViewModel.cs,TakeMoney,The following statement contains a magic number: _socketManager.SendMessage (new ChangeBalanceRequest () {  	Difference = -50'  	CustomerID = _customer.Id  });  
