Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AstoriaUnitTests.Tests,PlatformHelperTests,C:\research\architectureSmells\repos\OData_odata.net\test\FunctionalTests\Tests\DataServices\UnitTests\Client.TDD.Tests\Tests\PlatformHelperTests.cs,GetNonPublicStaticMethod,The length of the statement  "            MethodInfo methodInfo = PlatformHelper.GetMethod(typeof(TestClassWithInternalStaticProperty)' "MyTestMethod"' false' true); " is 123.
Long Statement,AstoriaUnitTests.Tests,PlatformHelperTests,C:\research\architectureSmells\repos\OData_odata.net\test\FunctionalTests\Tests\DataServices\UnitTests\Client.TDD.Tests\Tests\PlatformHelperTests.cs,GetConstructorInfo,The length of the statement  "            ConstructorInfo constructorInfo = PlatformHelper.GetInstanceConstructor(typeof(Version)' true' new Type[] { typeof(int)' typeof(int) }); " is 136.
Magic Number,AstoriaUnitTests.Tests,PlatformHelperTests,C:\research\architectureSmells\repos\OData_odata.net\test\FunctionalTests\Tests\DataServices\UnitTests\Client.TDD.Tests\Tests\PlatformHelperTests.cs,ConvertStringToDateTimeOffsetShouldConvertDateTimeStringWithPlusOffset,The following statement contains a magic number: PlatformHelper.ConvertStringToDateTimeOffset("2013-11-04T19:09:26+08:00").Offset.Should().Be(new TimeSpan(8' 0' 0));
Magic Number,AstoriaUnitTests.Tests,PlatformHelperTests,C:\research\architectureSmells\repos\OData_odata.net\test\FunctionalTests\Tests\DataServices\UnitTests\Client.TDD.Tests\Tests\PlatformHelperTests.cs,ConvertStringToDateTimeOffsetShouldConvertDateTimeStringWithMinusOffset,The following statement contains a magic number: PlatformHelper.ConvertStringToDateTimeOffset("2013-11-04T19:09:26-08:00").Offset.Should().Be(new TimeSpan(-8' 0' 0));
