Architecture smell,Project,Namespace,Cause
Cyclic Dependency,LinqToDB.WindowsStore,LinqToDB,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB' LinqToDB.Linq.Builder
Cyclic Dependency,LinqToDB.WindowsStore,LinqToDB.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Common' LinqToDB.Mapping' LinqToDB.Expressions
Cyclic Dependency,LinqToDB.WindowsStore,LinqToDB.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Common' LinqToDB.Mapping
Cyclic Dependency,LinqToDB.WindowsStore,LinqToDB.Linq,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Linq' LinqToDB.Linq.Builder
Cyclic Dependency,LinqToDB.WindowsStore,LinqToDB.Mapping,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Mapping' LinqToDB.Reflection
Unstable Dependency,LinqToDB.WindowsStore,LinqToDB,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Linq' LinqToDB.SqlProvider' LinqToDB.Linq.Builder
Unstable Dependency,LinqToDB.WindowsStore,LinqToDB.Common,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Mapping' LinqToDB.Expressions
Unstable Dependency,LinqToDB.WindowsStore,LinqToDB.Expressions,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Linq
Unstable Dependency,LinqToDB.WindowsStore,LinqToDB.Linq.Builder,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Linq' LinqToDB.Mapping
Unstable Dependency,LinqToDB.WindowsStore,LinqToDB.Reflection,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Mapping
Unstable Dependency,LinqToDB.WindowsStore,LinqToDB.SqlProvider,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Mapping
Unstable Dependency,LinqToDB.WindowsStore,LinqToDB.SqlQuery,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB' LinqToDB.SqlProvider' LinqToDB.Reflection' LinqToDB.Mapping' LinqToDB.Linq
God Component,LinqToDB.WindowsStore,LinqToDB.Linq.Builder,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 50
God Component,LinqToDB.WindowsStore,JetBrains.Annotations,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 71
Feature Concentration,LinqToDB.WindowsStore,LinqToDB,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AsyncExtensions]' [CompiledQuery' DataExtensions]' [DataType]' [ExpressionMethodAttribute]' [IDataContext]' [ITable]' [LinqExtensions]' [LinqToDBException]' [LinqToDBConstants]' [ProviderName]' [Sql' AnalyticFunctions' ExprParameterAttribute]' [ExtensionlBuilderExtensions]' [TakeHints]. LCC (Lack of Component Cohesion) = 0.81
Feature Concentration,LinqToDB.WindowsStore,LinqToDB.Common,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Array' ConvertBuilder' Converter' ConvertInfo' Convert' DefaultValue' ConvertTo]' [Configuration]' [LinqToDBConvertException]' [Option]' [Tools]. LCC (Lack of Component Cohesion) = 0.45
Feature Concentration,LinqToDB.WindowsStore,System.Data,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataRowVersion' IDataParameter' IDbDataParameter' ParameterDirection' DbType]' [DataTable]' [IDataReader' IDataRecord]' [SqlDbType]. LCC (Lack of Component Cohesion) = 0.44
Feature Concentration,LinqToDB.WindowsStore,LinqToDB.Expressions,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChangeTypeExpression' Extensions' MemberHelper' BinaryAggregateExpression' GetItemExpression]' [ConvertFromDataReaderExpression]' [DefaultValueExpression]' [IGenericInfoProvider]' [InternalExtensions]' [TransformInfo]. LCC (Lack of Component Cohesion) = 0.6
Feature Concentration,LinqToDB.WindowsStore,LinqToDB.Linq,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CompiledTable' DataContextInfo' IDataContextInfo' IExpressionQuery' Query' QueryableAccessor' QueryContext' ReflectionHelper' Table' ExpressionQuery' ExpressionQueryImpl' ITable]' [Expressions' IExpressionInfo]' [IQueryContext]' [ISelectInsertable]' [IUpdatable]' [IValueInsertable]' [LinqException]' [MemberInfoComparer]' [ParameterAccessor]. LCC (Lack of Component Cohesion) = 0.43
Feature Concentration,LinqToDB.WindowsStore,JetBrains.Annotations,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CanBeNullAttribute]' [NotNullAttribute' ValueProviderAttribute' ContractAnnotationAttribute' BaseTypeRequiredAttribute' PublicAPIAttribute' MustUseReturnValueAttribute' HtmlAttributeValueAttribute' AspRequiredAttributeAttribute]' [ItemNotNullAttribute]' [ItemCanBeNullAttribute]' [StringFormatMethodAttribute]' [InvokerParameterNameAttribute]' [NotifyPropertyChangedInvocatorAttribute]' [LocalizationRequiredAttribute]' [CannotApplyEqualityOperatorAttribute]' [UsedImplicitlyAttribute' MeansImplicitUseAttribute' ImplicitUseKindFlags' ImplicitUseTargetFlags]' [InstantHandleAttribute]' [PureAttribute]' [ProvidesContextAttribute]' [PathReferenceAttribute]' [SourceTemplateAttribute]' [MacroAttribute]' [AspMvcAreaMasterLocationFormatAttribute]' [AspMvcAreaPartialViewLocationFormatAttribute]' [AspMvcAreaViewLocationFormatAttribute]' [AspMvcMasterLocationFormatAttribute]' [AspMvcPartialViewLocationFormatAttribute]' [AspMvcViewLocationFormatAttribute]' [AspMvcActionAttribute]' [AspMvcAreaAttribute]' [AspMvcControllerAttribute]' [AspMvcMasterAttribute]' [AspMvcModelTypeAttribute]' [AspMvcPartialViewAttribute]' [AspMvcSuppressViewErrorAttribute]' [AspMvcDisplayTemplateAttribute]' [AspMvcEditorTemplateAttribute]' [AspMvcTemplateAttribute]' [AspMvcViewAttribute]' [AspMvcViewComponentAttribute]' [AspMvcViewComponentViewAttribute]' [AspMvcActionSelectorAttribute]' [HtmlElementAttributesAttribute]' [RazorSectionAttribute]' [CollectionAccessAttribute' CollectionAccessType]' [AssertionMethodAttribute]' [AssertionConditionAttribute' AssertionConditionType]' [LinqTunnelAttribute]' [NoEnumerationAttribute]' [RegexPatternAttribute]' [XamlItemsControlAttribute]' [XamlItemBindingOfItemsControlAttribute]' [AspChildControlTypeAttribute]' [AspDataFieldAttribute]' [AspDataFieldsAttribute]' [AspMethodPropertyAttribute]' [AspTypePropertyAttribute]' [RazorImportNamespaceAttribute]' [RazorInjectionAttribute]' [RazorHelperCommonAttribute]' [RazorLayoutAttribute]' [RazorWriteLiteralMethodAttribute]' [RazorWriteMethodAttribute]' [RazorWriteMethodParameterAttribute]' [NoReorder]. LCC (Lack of Component Cohesion) = 0.83
Feature Concentration,LinqToDB.WindowsStore,LinqToDB.ServiceModel,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ILinqService' LinqServiceClient' LinqSoapServiceClient' ServiceModelDataContext' SoapDataContext' LinqServiceResult' LinqServiceSerializer' RemoteDataContextBase' ServiceModelDataReader]' [LinqServiceInfo]' [LinqServiceQuery]. LCC (Lack of Component Cohesion) = 0.27
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Common,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB.Extensions' LinqToDB.Mapping
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Linq.Builder,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB.Extensions' LinqToDB.Expressions
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Linq.Builder,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB.Extensions' LinqToDB.Common
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Linq.Builder,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB.Expressions' LinqToDB.Common
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Linq.Builder,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB.Expressions' LinqToDB.SqlQuery
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Linq,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB' System.Data
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Mapping,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB.Extensions' LinqToDB.Common
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.Metadata,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB' LinqToDB.Common
Scattered Functionality,LinqToDB.WindowsStore,LinqToDB.ServiceModel,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: LinqToDB.SqlQuery' LinqToDB.Linq
