Architecture smell,Project,Namespace,Cause
Cyclic Dependency,LinqToDB.Silverlight.5,LinqToDB,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB' LinqToDB.Linq.Builder
Cyclic Dependency,LinqToDB.Silverlight.5,LinqToDB.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Common' LinqToDB.Mapping
Cyclic Dependency,LinqToDB.Silverlight.5,LinqToDB.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Common' LinqToDB.Mapping' LinqToDB.Expressions
Cyclic Dependency,LinqToDB.Silverlight.5,LinqToDB.Expressions,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Expressions' LinqToDB.Mapping
Cyclic Dependency,LinqToDB.Silverlight.5,LinqToDB.Linq,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Linq' LinqToDB.Linq.Builder
Cyclic Dependency,LinqToDB.Silverlight.5,LinqToDB.Mapping,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Mapping' LinqToDB.Reflection
Unstable Dependency,LinqToDB.Silverlight.5,LinqToDB,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Linq' LinqToDB.SqlProvider' LinqToDB.Mapping' LinqToDB.Linq.Builder
Unstable Dependency,LinqToDB.Silverlight.5,LinqToDB.Common,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Mapping' LinqToDB.Expressions
Unstable Dependency,LinqToDB.Silverlight.5,LinqToDB.Expressions,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Mapping' LinqToDB.Linq
Unstable Dependency,LinqToDB.Silverlight.5,LinqToDB.Linq.Builder,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Linq
