Architecture smell,Project,Namespace,Cause
Cyclic Dependency,LinqToDB,LinqToDB,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB' LinqToDB.Data' LinqToDB.Linq
Cyclic Dependency,LinqToDB,LinqToDB,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB' LinqToDB.Data' LinqToDB.Linq' LinqToDB.Linq.Builder
Cyclic Dependency,LinqToDB,LinqToDB,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB' LinqToDB.Linq.Builder
Cyclic Dependency,LinqToDB,LinqToDB.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Common' LinqToDB.Mapping
Cyclic Dependency,LinqToDB,LinqToDB.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Common' LinqToDB.Mapping' LinqToDB.Expressions
Cyclic Dependency,LinqToDB,LinqToDB.Linq,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Linq' LinqToDB.Linq.Builder
Cyclic Dependency,LinqToDB,LinqToDB.Mapping,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: LinqToDB.Mapping' LinqToDB.Reflection
Unstable Dependency,LinqToDB,LinqToDB,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Data' LinqToDB.DataProvider' LinqToDB.SqlProvider' LinqToDB.Linq' LinqToDB.SqlQuery' LinqToDB.Linq.Builder' LinqToDB.Common
Unstable Dependency,LinqToDB,LinqToDB.Common,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Expressions' LinqToDB.Mapping
Unstable Dependency,LinqToDB,LinqToDB.Data,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Expressions' LinqToDB.Mapping' LinqToDB.DataProvider
Unstable Dependency,LinqToDB,LinqToDB.Expressions,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Linq
Unstable Dependency,LinqToDB,LinqToDB.Linq.Builder,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Linq
Unstable Dependency,LinqToDB,LinqToDB.Mapping,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Metadata
Unstable Dependency,LinqToDB,LinqToDB.SqlProvider,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Mapping
Unstable Dependency,LinqToDB,LinqToDB.SqlQuery,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Reflection' LinqToDB.Mapping' LinqToDB.Linq
Unstable Dependency,LinqToDB,LinqToDB.Reflection,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): LinqToDB.Mapping
God Component,LinqToDB,LinqToDB.Linq.Builder,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 50
God Component,LinqToDB,JetBrains.Annotations,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 71
Feature Concentration,LinqToDB,LinqToDB,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AsyncExtensions]' [KeepConnectionAliveScope' DataContext' DataContextTransaction' IDataContext]' [ITable]' [DataType]' [ProviderName]' [CompiledQuery' DataExtensions]' [LinqExtensions]' [ExpressionMethodAttribute]' [Sql' AnalyticFunctions' ExprParameterAttribute]' [ExtensionlBuilderExtensions]' [LinqToDBException]' [LinqToDBConstants]' [TakeHints]. LCC (Lack of Component Cohesion) = 0.68
Feature Concentration,LinqToDB,LinqToDB.Common,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LinqToDBConvertException]' [Tools]' [Array' ConvertBuilder' ConvertInfo' Convert' Converter' DefaultValue' ConvertTo]' [Configuration]' [Option]. LCC (Lack of Component Cohesion) = 0.45
Feature Concentration,LinqToDB,LinqToDB.DataProvider.PostgreSQL,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PostgreSQLVersion' PostgreSQLTools' PostgreSQLSchemaProvider' PostgreSQLDataProvider' PostgreSQLSqlBuilder' PostgreSQLIdentifierQuoteMode' PostgreSQLBulkCopy' PostgreSQLFactory]' [PostgreSQLSqlOptimizer]' [PostgreSQLMappingSchema]. LCC (Lack of Component Cohesion) = 0.3
Feature Concentration,LinqToDB,LinqToDB.DataProvider.Access,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccessTools' AccessDataProvider' AccessFactory' AccessSqlBuilder' AccessSchemaProvider' AccessBulkCopy]' [AccessSqlOptimizer]' [AccessMappingSchema]. LCC (Lack of Component Cohesion) = 0.38
Feature Concentration,LinqToDB,LinqToDB.DataProvider,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BasicMerge' DataProviderBase' DynamicDataProviderBase' BasicBulkCopy' MultipleRowsHelper' IDataProvider' ReaderInfo]' [DataTools]' [AssemblyResolver]' [BulkCopyReader]' [IDataProviderFactory]. LCC (Lack of Component Cohesion) = 0.45
Feature Concentration,LinqToDB,LinqToDB.DataProvider.DB2,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DB2BulkCopy' DB2DataProvider' DB2Factory' DB2Types' DB2zOSSchemaProvider' DB2Version' DB2zOSSqlBuilder' DB2Merge' DB2LUWSchemaProvider' DB2LUWSqlBuilder' DB2SqlBuilderBase' DB2IdentifierQuoteMode' DB2SqlOptimizer' DB2Tools' TypeCreatorBase' TypeCreator' TypeCreatorNoDefault' ConnectionTypeTypeCreator]' [DB2Extensions]' [DB2MappingSchema]' [DB2zOSMappingSchema]' [DB2LUWMappingSchema]. LCC (Lack of Component Cohesion) = 0.23
Feature Concentration,LinqToDB,LinqToDB.DataProvider.Firebird,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FirebirdIdentifierQuoteMode' FirebirdSqlBuilder' FirebirdTools' FirebirdDataProvider' FirebirdFactory' FirebirdSchemaProvider' FirebirdBulkCopy' FirebirdMerge]' [FirebirdConfiguration]' [FirebirdSqlOptimizer]' [FirebirdMappingSchema]. LCC (Lack of Component Cohesion) = 0.36
