Implementation smell,Namespace,Class,File,Method,Description
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,cmdUpload_Click,The following statement contains a magic number: foreach (string selectedFile in lstFiles.SelectedItems)              {                  var fileName = Path.Combine(fldname' selectedFile);                  var blockName = selectedFile.Substring(0' selectedFile.Length - 4);                    var rd = new BinaryReader(File.Open(fileName' FileMode.Open));                  var bytes = rd.ReadBytes(Convert.ToInt32(rd.BaseStream.Length));                    myConn.PLCPutBlockFromMC7toPLC(blockName' bytes);              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,cmdUploadRename_Click,The following statement contains a magic number: var blockName = selectedFile.Substring(0' selectedFile.Length - 4);
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
Magic Number,BackupRestoreBlocks,MainWindow,C:\repos\jogibear9988_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.cmdConfig = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\MainWindow.xaml"              this.cmdConfig.Click += new System.Windows.RoutedEventHandler(this.cmdConfig_Click);                            #line default              #line hidden              return;              case 2:              this.cmdLoadBlockList = ((System.Windows.Controls.Button)(target));                            #line 11 "..\..\MainWindow.xaml"              this.cmdLoadBlockList.Click += new System.Windows.RoutedEventHandler(this.cmdLoadBlockList_Click);                            #line default              #line hidden              return;              case 3:              this.lstBlocks = ((System.Windows.Controls.ListBox)(target));              return;              case 4:              this.lblConnection = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.cmdDownload = ((System.Windows.Controls.Button)(target));                            #line 15 "..\..\MainWindow.xaml"              this.cmdDownload.Click += new System.Windows.RoutedEventHandler(this.cmdDownload_Click);                            #line default              #line hidden              return;              case 6:              this.cmdUpload = ((System.Windows.Controls.Button)(target));                            #line 16 "..\..\MainWindow.xaml"              this.cmdUpload.Click += new System.Windows.RoutedEventHandler(this.cmdUpload_Click);                            #line default              #line hidden              return;              case 7:              this.lstFiles = ((System.Windows.Controls.ListBox)(target));              return;              case 8:              this.lblFolder = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.cmdBrowseFolder = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\MainWindow.xaml"              this.cmdBrowseFolder.Click += new System.Windows.RoutedEventHandler(this.cmdBrowseFolder_Click);                            #line default              #line hidden              return;              case 10:              this.cmdRefreshFolder = ((System.Windows.Controls.Button)(target));                            #line 21 "..\..\MainWindow.xaml"              this.cmdRefreshFolder.Click += new System.Windows.RoutedEventHandler(this.cmdRefreshFolder_Click);                            #line default              #line hidden              return;              case 11:              this.cmdUploadRename = ((System.Windows.Controls.Button)(target));                            #line 22 "..\..\MainWindow.xaml"              this.cmdUploadRename.Click += new System.Windows.RoutedEventHandler(this.cmdUploadRename_Click);                            #line default              #line hidden              return;              }
