Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,System.Windows,FrameworkPropertyMetadata,C:\repos\mono_olive\class\PresentationFramework\System.Windows\FrameworkPropertyMetadata.cs,FrameworkPropertyMetadata,The method has 5 parameters. Parameters: defaultValue' flags' propertyChangedCallback' coerceValueCallback' isAnimationProhibited
Long Identifier,System.Windows.Controls,ContentControl,C:\repos\mono_olive\class\PresentationFramework\System.Windows.Controls\ContentControl.cs,,The length of the parameter ContentTemplateSelectorProperty is 31.
Long Statement,System.Windows.Controls,ContentControl,C:\repos\mono_olive\class\PresentationFramework\System.Windows.Controls\ContentControl.cs,OnContentTemplateSelectorChanged,The length of the statement  "			((ContentControl)sender).OnContentTemplateSelectorChanged ((DataTemplateSelector)args.OldValue' (DataTemplateSelector)args.NewValue); " is 133.
Magic Number,System.Windows,ValueSource,C:\repos\mono_olive\class\PresentationFramework\System.Windows\ValueSource.cs,GetHashCode,The following statement contains a magic number: return (IsAnimated ? 1 : 2) ^ (IsCoerced ? 1 : 2) ^ (IsExpression ? 1 : 2) ^ (int)BaseValueSource;
Magic Number,System.Windows,ValueSource,C:\repos\mono_olive\class\PresentationFramework\System.Windows\ValueSource.cs,GetHashCode,The following statement contains a magic number: return (IsAnimated ? 1 : 2) ^ (IsCoerced ? 1 : 2) ^ (IsExpression ? 1 : 2) ^ (int)BaseValueSource;
Magic Number,System.Windows,ValueSource,C:\repos\mono_olive\class\PresentationFramework\System.Windows\ValueSource.cs,GetHashCode,The following statement contains a magic number: return (IsAnimated ? 1 : 2) ^ (IsCoerced ? 1 : 2) ^ (IsExpression ? 1 : 2) ^ (int)BaseValueSource;
