Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Topshelf.Nancy.Sample,Program,D:\research\architectureSmells\repos\justeat_Topshelf.Nancy\Topshelf.Nancy.Sample\Program.cs,Main,The following statement contains a magic number: var host = HostFactory.New(x =>              {                  x.UseNLog();                                    x.Service<SampleService>(s =>                  {                      s.ConstructUsing(settings => new SampleService());                      s.WhenStarted(service => service.Start());                      s.WhenStopped(service => service.Stop());                      s.WithNancyEndpoint(x' c =>                      {                          c.AddHost(port: 20005);                          c.AddHost(port: 20006);                          c.CreateUrlReservationsOnInstall();                          c.OpenFirewallPortsOnInstall(firewallRuleName: "topshelf.nancy.sampleservice");                      });                  });                  x.StartAutomatically();                  x.SetServiceName("topshelf.nancy.sampleservice");                  x.SetDisplayName("Topshelf.Nancy.SampleService");                  x.SetDescription("Sample Service for the Topshelf.Nancy project");                  x.RunAsNetworkService();              });
Magic Number,Topshelf.Nancy.Sample,Program,D:\research\architectureSmells\repos\justeat_Topshelf.Nancy\Topshelf.Nancy.Sample\Program.cs,Main,The following statement contains a magic number: var host = HostFactory.New(x =>              {                  x.UseNLog();                                    x.Service<SampleService>(s =>                  {                      s.ConstructUsing(settings => new SampleService());                      s.WhenStarted(service => service.Start());                      s.WhenStopped(service => service.Stop());                      s.WithNancyEndpoint(x' c =>                      {                          c.AddHost(port: 20005);                          c.AddHost(port: 20006);                          c.CreateUrlReservationsOnInstall();                          c.OpenFirewallPortsOnInstall(firewallRuleName: "topshelf.nancy.sampleservice");                      });                  });                  x.StartAutomatically();                  x.SetServiceName("topshelf.nancy.sampleservice");                  x.SetDisplayName("Topshelf.Nancy.SampleService");                  x.SetDescription("Sample Service for the Topshelf.Nancy project");                  x.RunAsNetworkService();              });
