Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.WithoutBackButton;component/views/resourcescontrol.xaml"' System.UriKind.Relative); " is 150.
Long Statement,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.WithoutBackButton.Views,StepsControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\StepsControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.WithoutBackButton;component/views/stepscontrol.xaml"' System.UriKind.Relative); " is 146.
Long Statement,ModernUIForWPFSample.WithoutBackButton,App,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\App.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.WithoutBackButton;component/app.xaml"' System.UriKind.Relative); " is 131.
Magic Number,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Magic Number,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Magic Number,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Missing Default,ModernUIForWPFSample.WithoutBackButton.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.WithoutBackButton\Views\ResourcesControl.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
