Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.Navigation;component/views/resourcescontrol.xaml"' System.UriKind.Relative); " is 143.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,StepsControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\StepsControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.Navigation;component/views/stepscontrol.xaml"' System.UriKind.Relative); " is 139.
Long Statement,ModernUIForWPFSample.Navigation,App,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\App.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.Navigation;component/app.xaml"' System.UriKind.Relative); " is 124.
Magic Number,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Magic Number,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Magic Number,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Missing Default,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation\Views\ResourcesControl.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
