Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ModernUIForWPFSample.Navigation.Services,NavigationService,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Services\NavigationService.cs,NavigateTo,The length of the statement  "                    throw new ArgumentException(string.Format("No such page: {0}. Did you forget to call NavigationService.Configure?"' pageKey)' "pageKey"); " is 137.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.Navigation (NavigationService - MVVM);component/views/resou" + " is 129.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The length of the statement  "            ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate); " is 156.
Long Statement,ModernUIForWPFSample.Navigation.Views,StepsControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\StepsControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.Navigation (NavigationService - MVVM);component/views/steps" + " is 129.
Long Statement,ModernUIForWPFSample.DefaultModernUI,App,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\obj\Debug\App.g.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModernUIForWPFSample.Navigation (NavigationService - MVVM);component/app.xaml"' System.UriKind.Relative); " is 151.
Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\obj\Debug\GeneratedInternalTypeHelper.g.cs,CreateInstance,The length of the statement  "            return System.Activator.CreateInstance(type' ((System.Reflection.BindingFlags.Public | System.Reflection.BindingFlags.NonPublic)  " is 128.
Magic Number,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Magic Number,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Magic Number,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
Missing Default,ModernUIForWPFSample.Navigation.Views,ResourcesControl,D:\research\architectureSmells\repos1\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (NavigationService - MVVM)\Views\ResourcesControl.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:                            #line 11 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 2:                            #line 13 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 3:                            #line 15 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              case 4:                            #line 18 "..\..\..\Views\ResourcesControl.xaml"              ((System.Windows.Documents.Hyperlink)(target)).RequestNavigate += new System.Windows.Navigation.RequestNavigateEventHandler(this.Hyperlink_RequestNavigate);                            #line default              #line hidden              return;              }
