Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Feature Concentration,Merchello.Web,Merchello.Web,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationContextExtensions]' [DigitalDownloadHandler]' [MerchelloHelperExtensions' MerchelloHelper' UmbracoApplicationEventHandler' WebBootManager' ProductCollectionExtensions' ProductSortField' AutoMapperMappings' QueryBuilderExtensions' CollectionClusivity' WebMigrationManager]' [LocalizationHelper]' [MerchelloContextExtensions]' [CheckoutExtensions]' [PluginManagerExtensions]' [UmbracoServiceExtensions]' [CustomerExtensions]' [EncryptionHelper]' [CustomerContext]' [QueryBase]. LCC (Lack of Component Cohesion) = 0.57,Merchello.Web.DigitalDownloadHandler' Merchello.Web.LocalizationHelper' Merchello.Web.MerchelloContextExtensions' Merchello.Web.CheckoutExtensions' Merchello.Web.PluginManagerExtensions' Merchello.Web.UmbracoServiceExtensions' Merchello.Web.CustomerExtensions' Merchello.Web.EncryptionHelper' Merchello.Web.CustomerContext' Merchello.Web.QueryBase,Merchello.Web.ApplicationContextExtensions' Merchello.Web.DigitalDownloadHandler' Merchello.Web.MerchelloHelperExtensions' Merchello.Web.ProductCollectionExtensions' Merchello.Web.LocalizationHelper' Merchello.Web.MerchelloContextExtensions' Merchello.Web.AutoMapperMappings' Merchello.Web.CheckoutExtensions' Merchello.Web.QueryBuilderExtensions' Merchello.Web.CollectionClusivity' Merchello.Web.ProductSortField' Merchello.Web.PluginManagerExtensions' Merchello.Web.UmbracoServiceExtensions' Merchello.Web.WebMigrationManager' Merchello.Web.CustomerExtensions' Merchello.Web.EncryptionHelper' Merchello.Web.MerchelloHelper' Merchello.Web.CustomerContext' Merchello.Web.QueryBase' Merchello.Web.UmbracoApplicationEventHandler' Merchello.Web.WebBootManager
Feature Concentration,Merchello.Web,Merchello.Web.Editors.Reports,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SalesSearchReportApiController' SaleItem' ReportSqlHelper' SalesByItem' SalesByItemReportApiController' SkuSaleCountDto' MonthlyReportApiControllerBase<TResult>' SalesOverTimeReportApiController]' [AbandonedBasketReportApiController]. LCC (Lack of Component Cohesion) = 0.22,Merchello.Web.Editors.Reports.AbandonedBasketReportApiController,Merchello.Web.Editors.Reports.SalesSearchReportApiController' Merchello.Web.Editors.Reports.SaleItem' Merchello.Web.Editors.Reports.AbandonedBasketReportApiController' Merchello.Web.Editors.Reports.MonthlyReportApiControllerBase<TResult>' Merchello.Web.Editors.Reports.ReportSqlHelper' Merchello.Web.Editors.Reports.SalesByItem' Merchello.Web.Editors.Reports.SalesOverTimeReportApiController' Merchello.Web.Editors.Reports.SalesByItemReportApiController' Merchello.Web.Editors.Reports.SkuSaleCountDto
Feature Concentration,Merchello.Web,Merchello.Web.Models.Reports,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SalesSearchSnapshot' ProductLineItem' InvStatus]' [AbandonedBasketResult]' [CustomerBasketsResult]' [MonthlyReportResult' SalesByItemResult' SalesOverTimeResult' ResultCurrencyValue]. LCC (Lack of Component Cohesion) = 0.44,Merchello.Web.Models.Reports.SalesSearchSnapshot' Merchello.Web.Models.Reports.ProductLineItem' Merchello.Web.Models.Reports.InvStatus' Merchello.Web.Models.Reports.AbandonedBasketResult' Merchello.Web.Models.Reports.CustomerBasketsResult,Merchello.Web.Models.Reports.SalesSearchSnapshot' Merchello.Web.Models.Reports.ProductLineItem' Merchello.Web.Models.Reports.InvStatus' Merchello.Web.Models.Reports.AbandonedBasketResult' Merchello.Web.Models.Reports.CustomerBasketsResult' Merchello.Web.Models.Reports.MonthlyReportResult' Merchello.Web.Models.Reports.ResultCurrencyValue' Merchello.Web.Models.Reports.SalesByItemResult' Merchello.Web.Models.Reports.SalesOverTimeResult
Feature Concentration,Merchello.Web,Merchello.Web.Discounts.Coupons,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CouponExtendedDataExtensions' Coupon' ICoupon' CouponRedemptionResult' CouponRedemptionResultExtensions' ICouponRedemptionResult' CouponManager' RedeemCouponEventArgs]' [CouponRedemptionEventHandler' CouponRedemptionLineItemVisitor]. LCC (Lack of Component Cohesion) = 0.2,Merchello.Web.Discounts.Coupons.CouponRedemptionEventHandler' Merchello.Web.Discounts.Coupons.CouponRedemptionLineItemVisitor,Merchello.Web.Discounts.Coupons.CouponExtendedDataExtensions' Merchello.Web.Discounts.Coupons.CouponRedemptionResult' Merchello.Web.Discounts.Coupons.CouponRedemptionEventHandler' Merchello.Web.Discounts.Coupons.CouponRedemptionLineItemVisitor' Merchello.Web.Discounts.Coupons.CouponRedemptionResultExtensions' Merchello.Web.Discounts.Coupons.ICouponRedemptionResult' Merchello.Web.Discounts.Coupons.RedeemCouponEventArgs' Merchello.Web.Discounts.Coupons.CouponManager' Merchello.Web.Discounts.Coupons.Coupon' Merchello.Web.Discounts.Coupons.ICoupon
Feature Concentration,Merchello.Web,Merchello.Web.Editors,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BackOfficeCheckoutApiController]' [DetachedContentApiController]' [NoteApiController]' [EntityCollectionApiController]' [MarketingApiController]' [PluginViewEditorApiController]' [ProductOptionApiController]' [AuditLogApiController]' [CustomerApiController]' [FixedRateShippingApiController]' [GatewayProviderApiController]' [InvoiceApiController]' [NotificationGatewayApiController]' [OrderApiController]' [PaymentApiController]' [PaymentGatewayApiController]' [SettingsApiController]' [ShippingGatewayApiController]' [ShipmentApiController]' [TaxationGatewayApiController]' [WarehouseApiController]' [ProductApiController]. LCC (Lack of Component Cohesion) = 1,Merchello.Web.Editors.DetachedContentApiController' Merchello.Web.Editors.NoteApiController' Merchello.Web.Editors.EntityCollectionApiController' Merchello.Web.Editors.MarketingApiController' Merchello.Web.Editors.PluginViewEditorApiController' Merchello.Web.Editors.ProductOptionApiController' Merchello.Web.Editors.AuditLogApiController' Merchello.Web.Editors.CustomerApiController' Merchello.Web.Editors.FixedRateShippingApiController' Merchello.Web.Editors.GatewayProviderApiController' Merchello.Web.Editors.InvoiceApiController' Merchello.Web.Editors.NotificationGatewayApiController' Merchello.Web.Editors.OrderApiController' Merchello.Web.Editors.PaymentApiController' Merchello.Web.Editors.PaymentGatewayApiController' Merchello.Web.Editors.SettingsApiController' Merchello.Web.Editors.ShippingGatewayApiController' Merchello.Web.Editors.ShipmentApiController' Merchello.Web.Editors.TaxationGatewayApiController' Merchello.Web.Editors.WarehouseApiController' Merchello.Web.Editors.ProductApiController,Merchello.Web.Editors.BackOfficeCheckoutApiController' Merchello.Web.Editors.DetachedContentApiController' Merchello.Web.Editors.NoteApiController' Merchello.Web.Editors.EntityCollectionApiController' Merchello.Web.Editors.MarketingApiController' Merchello.Web.Editors.PluginViewEditorApiController' Merchello.Web.Editors.ProductOptionApiController' Merchello.Web.Editors.AuditLogApiController' Merchello.Web.Editors.CustomerApiController' Merchello.Web.Editors.FixedRateShippingApiController' Merchello.Web.Editors.GatewayProviderApiController' Merchello.Web.Editors.InvoiceApiController' Merchello.Web.Editors.NotificationGatewayApiController' Merchello.Web.Editors.OrderApiController' Merchello.Web.Editors.PaymentApiController' Merchello.Web.Editors.PaymentGatewayApiController' Merchello.Web.Editors.SettingsApiController' Merchello.Web.Editors.ShippingGatewayApiController' Merchello.Web.Editors.ShipmentApiController' Merchello.Web.Editors.TaxationGatewayApiController' Merchello.Web.Editors.WarehouseApiController' Merchello.Web.Editors.ProductApiController
Feature Concentration,Merchello.Web,Merchello.Web.Factories,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddItemModelFactory<TAddItemModel>]' [BasketItemExtendedDataFactory<TAddItemModel>]' [BasketModelFactory<TBasketModel'TBasketItemModel>]' [CheckoutAddressModelFactory<TAddress>]' [CheckoutContextSettingsFactory]' [CheckoutDiscountModelFactory<TDiscountModel'TLineItemModel>]' [CheckoutPaymentMethodModelFactory<TPaymentMethodModel>]' [CheckoutPaymentModelFactory<TPaymentModel>]' [CheckoutShipRateQuoteModelFactory<TShipRateQuoteModel>]' [CheckoutSummaryModelFactory<TSummary'TBillingAddress'TShippingAddress'TLineItem>]' [CustomerProfileModelFactory<TProfile>]' [ItemCacheModelFactory<TItemCacheModel'TLineItemModel>]' [ProductDataTableFactory<TTable'TRow>]. LCC (Lack of Component Cohesion) = 1,Merchello.Web.Factories.BasketItemExtendedDataFactory<TAddItemModel>' Merchello.Web.Factories.BasketModelFactory<TBasketModel'TBasketItemModel>' Merchello.Web.Factories.CheckoutAddressModelFactory<TAddress>' Merchello.Web.Factories.CheckoutContextSettingsFactory' Merchello.Web.Factories.CheckoutDiscountModelFactory<TDiscountModel'TLineItemModel>' Merchello.Web.Factories.CheckoutPaymentMethodModelFactory<TPaymentMethodModel>' Merchello.Web.Factories.CheckoutPaymentModelFactory<TPaymentModel>' Merchello.Web.Factories.CheckoutShipRateQuoteModelFactory<TShipRateQuoteModel>' Merchello.Web.Factories.CheckoutSummaryModelFactory<TSummary'TBillingAddress'TShippingAddress'TLineItem>' Merchello.Web.Factories.CustomerProfileModelFactory<TProfile>' Merchello.Web.Factories.ItemCacheModelFactory<TItemCacheModel'TLineItemModel>' Merchello.Web.Factories.ProductDataTableFactory<TTable'TRow>,Merchello.Web.Factories.AddItemModelFactory<TAddItemModel>' Merchello.Web.Factories.BasketItemExtendedDataFactory<TAddItemModel>' Merchello.Web.Factories.BasketModelFactory<TBasketModel'TBasketItemModel>' Merchello.Web.Factories.CheckoutAddressModelFactory<TAddress>' Merchello.Web.Factories.CheckoutContextSettingsFactory' Merchello.Web.Factories.CheckoutDiscountModelFactory<TDiscountModel'TLineItemModel>' Merchello.Web.Factories.CheckoutPaymentMethodModelFactory<TPaymentMethodModel>' Merchello.Web.Factories.CheckoutPaymentModelFactory<TPaymentModel>' Merchello.Web.Factories.CheckoutShipRateQuoteModelFactory<TShipRateQuoteModel>' Merchello.Web.Factories.CheckoutSummaryModelFactory<TSummary'TBillingAddress'TShippingAddress'TLineItem>' Merchello.Web.Factories.CustomerProfileModelFactory<TProfile>' Merchello.Web.Factories.ItemCacheModelFactory<TItemCacheModel'TLineItemModel>' Merchello.Web.Factories.ProductDataTableFactory<TTable'TRow>
Feature Concentration,Merchello.Web,Merchello.Web.Models.ContentEditing.Collections,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EntityFilterGroupDisplay' EntityCollectionDisplay' EntityCollectionDisplayExtensions' EntityCollectionProviderDisplay' EntityCollectionProviderDisplayExtensions]' [Entity2CollectionModel]' [Entity2FilterCollectionsModel]' [EntityCollectionByEntityQuery]. LCC (Lack of Component Cohesion) = 0.5,Merchello.Web.Models.ContentEditing.Collections.Entity2CollectionModel' Merchello.Web.Models.ContentEditing.Collections.Entity2FilterCollectionsModel' Merchello.Web.Models.ContentEditing.Collections.EntityCollectionByEntityQuery,Merchello.Web.Models.ContentEditing.Collections.EntityFilterGroupDisplay' Merchello.Web.Models.ContentEditing.Collections.Entity2CollectionModel' Merchello.Web.Models.ContentEditing.Collections.Entity2FilterCollectionsModel' Merchello.Web.Models.ContentEditing.Collections.EntityCollectionByEntityQuery' Merchello.Web.Models.ContentEditing.Collections.EntityCollectionDisplay' Merchello.Web.Models.ContentEditing.Collections.EntityCollectionDisplayExtensions' Merchello.Web.Models.ContentEditing.Collections.EntityCollectionProviderDisplay' Merchello.Web.Models.ContentEditing.Collections.EntityCollectionProviderDisplayExtensions
Feature Concentration,Merchello.Web,Merchello.Web.Models.MapperResolvers,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EntityCollectionProviderDialogEditorViewResolver]' [ItemCacheCustomerResolver]' [NoteEntityTypeResolver]' [NoteTypeFieldResolver]' [AvailableGatewayResourcesResolver]' [EntityTypeFieldResolver]' [CapturePaymentDialogEditorViewResolver]' [AuthorizePaymentDialogEditorViewResolver]' [AuthorizeCapturePaymentDialogEditorViewResolver]' [IncludeInPaymentSelectionResolver]' [RefundPaymentDialogEditorViewResolver]' [RequiresCustomerResolver]' [VoidPaymentDialogEditorViewResolver]' [LineItemTypeFieldResolver]' [OfferComponentAttributeValueResolver]' [CustomerInvoicesResolver]' [EntityTypeResolver]' [GatewayProviderDialogEditorViewResolver]' [ExtendedDataResolver]' [GatewayMethodDialogEditorViewResolver]' [WarehouseCatalogIsDefaultResolver]. LCC (Lack of Component Cohesion) = 1,Merchello.Web.Models.MapperResolvers.ItemCacheCustomerResolver' Merchello.Web.Models.MapperResolvers.NoteEntityTypeResolver' Merchello.Web.Models.MapperResolvers.NoteTypeFieldResolver' Merchello.Web.Models.MapperResolvers.AvailableGatewayResourcesResolver' Merchello.Web.Models.MapperResolvers.EntityTypeFieldResolver' Merchello.Web.Models.MapperResolvers.CapturePaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.AuthorizePaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.AuthorizeCapturePaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.IncludeInPaymentSelectionResolver' Merchello.Web.Models.MapperResolvers.RefundPaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.RequiresCustomerResolver' Merchello.Web.Models.MapperResolvers.VoidPaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.LineItemTypeFieldResolver' Merchello.Web.Models.MapperResolvers.OfferComponentAttributeValueResolver' Merchello.Web.Models.MapperResolvers.CustomerInvoicesResolver' Merchello.Web.Models.MapperResolvers.EntityTypeResolver' Merchello.Web.Models.MapperResolvers.GatewayProviderDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.ExtendedDataResolver' Merchello.Web.Models.MapperResolvers.GatewayMethodDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.WarehouseCatalogIsDefaultResolver,Merchello.Web.Models.MapperResolvers.EntityCollectionProviderDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.ItemCacheCustomerResolver' Merchello.Web.Models.MapperResolvers.NoteEntityTypeResolver' Merchello.Web.Models.MapperResolvers.NoteTypeFieldResolver' Merchello.Web.Models.MapperResolvers.AvailableGatewayResourcesResolver' Merchello.Web.Models.MapperResolvers.EntityTypeFieldResolver' Merchello.Web.Models.MapperResolvers.CapturePaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.AuthorizePaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.AuthorizeCapturePaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.IncludeInPaymentSelectionResolver' Merchello.Web.Models.MapperResolvers.RefundPaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.RequiresCustomerResolver' Merchello.Web.Models.MapperResolvers.VoidPaymentDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.LineItemTypeFieldResolver' Merchello.Web.Models.MapperResolvers.OfferComponentAttributeValueResolver' Merchello.Web.Models.MapperResolvers.CustomerInvoicesResolver' Merchello.Web.Models.MapperResolvers.EntityTypeResolver' Merchello.Web.Models.MapperResolvers.GatewayProviderDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.ExtendedDataResolver' Merchello.Web.Models.MapperResolvers.GatewayMethodDialogEditorViewResolver' Merchello.Web.Models.MapperResolvers.WarehouseCatalogIsDefaultResolver
Feature Concentration,Merchello.Web,Merchello.Web.Mvc,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CheckAjaxRequestAttribute]' [MerchelloHelperViewPage<TModel>' MerchelloViewPage<TModel>]' [SurfaceControllerActivationHelper]' [IPaymentMethodUiController' PaymentMethodUiController<TModel>' MerchelloSurfaceController]' [MerchelloRenderMvcController]' [ViewRenderer]' [MerchelloTemplatePage]. LCC (Lack of Component Cohesion) = 0.7,Merchello.Web.Mvc.MerchelloHelperViewPage<TModel>' Merchello.Web.Mvc.MerchelloViewPage<TModel>' Merchello.Web.Mvc.CheckAjaxRequestAttribute' Merchello.Web.Mvc.SurfaceControllerActivationHelper' Merchello.Web.Mvc.MerchelloRenderMvcController' Merchello.Web.Mvc.ViewRenderer' Merchello.Web.Mvc.MerchelloTemplatePage,Merchello.Web.Mvc.CheckAjaxRequestAttribute' Merchello.Web.Mvc.MerchelloHelperViewPage<TModel>' Merchello.Web.Mvc.SurfaceControllerActivationHelper' Merchello.Web.Mvc.IPaymentMethodUiController' Merchello.Web.Mvc.MerchelloRenderMvcController' Merchello.Web.Mvc.MerchelloSurfaceController' Merchello.Web.Mvc.PaymentMethodUiController<TModel>' Merchello.Web.Mvc.ViewRenderer' Merchello.Web.Mvc.MerchelloViewPage<TModel>' Merchello.Web.Mvc.MerchelloTemplatePage
Feature Concentration,Merchello.Web,Merchello.Web.Models.ContentEditing.Checkout,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddToItemCacheInstruction' AddToItemCacheItem' ItemCacheInstructionBase' ItemCacheInstruction]' [CreateCustomerInvoice]' [ShipmentRateQuoteDisplay' ShipmentRateQuoteDisplayExtensions]. LCC (Lack of Component Cohesion) = 0.43,Merchello.Web.Models.ContentEditing.Checkout.ShipmentRateQuoteDisplay' Merchello.Web.Models.ContentEditing.Checkout.ShipmentRateQuoteDisplayExtensions' Merchello.Web.Models.ContentEditing.Checkout.CreateCustomerInvoice,Merchello.Web.Models.ContentEditing.Checkout.AddToItemCacheInstruction' Merchello.Web.Models.ContentEditing.Checkout.AddToItemCacheItem' Merchello.Web.Models.ContentEditing.Checkout.CreateCustomerInvoice' Merchello.Web.Models.ContentEditing.Checkout.ItemCacheInstructionBase' Merchello.Web.Models.ContentEditing.Checkout.ItemCacheInstruction' Merchello.Web.Models.ContentEditing.Checkout.ShipmentRateQuoteDisplay' Merchello.Web.Models.ContentEditing.Checkout.ShipmentRateQuoteDisplayExtensions
