Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,WinterExtensions,BettingSystem,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\Betting.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,WinterExtensions,JukeBox,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\JukeBox.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: JukeBoxCommand
Unutilized Abstraction,WinterExtensions,JukeBox,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\JukeBox.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WinterExtensions,PluginLoader,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\Plugin.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Cyclically-dependent Modularization,WinterExtensions,HttpManager,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\HttpManager.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WinterExtensions.HttpManager' WinterExtensions.HttpPost
Cyclically-dependent Modularization,WinterExtensions,HttpGet,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\HttpManager.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WinterExtensions.HttpGet' WinterExtensions.HttpManager
Cyclically-dependent Modularization,WinterExtensions,HttpGet,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\HttpManager.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WinterExtensions.HttpGet' WinterExtensions.HttpManager' WinterExtensions.HttpPost
Cyclically-dependent Modularization,WinterExtensions,HttpPost,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\HttpManager.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WinterExtensions.HttpPost' WinterExtensions.HttpManager
Cyclically-dependent Modularization,WinterExtensions,HttpPost,C:\repos\DarkAutumn_WinterBot\WinterBot\WinterExtensions\HttpManager.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WinterExtensions.HttpPost' WinterExtensions.HttpManager' WinterExtensions.HttpGet
