Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DummyTests.DotNetMSTest,DotNet4RuntimeVersionTests,D:\research\architectureSmells\repos1\sdekock_AgUnit\src\DummyTests\VS2010\DummyTests.DotNetMSTest\DotNet4RuntimeVersionTests.cs,DeploymentRuntimeVersionIsCorrect,The length of the statement  "            Assert.AreEqual(enviromentVersion.Major' 4' string.Format("Environment version was {0}' expected 4.*"' enviromentVersion)); " is 123.
Magic Number,DummyTests.DotNetMSTest,DotNet4RuntimeVersionTests,D:\research\architectureSmells\repos1\sdekock_AgUnit\src\DummyTests\VS2010\DummyTests.DotNetMSTest\DotNet4RuntimeVersionTests.cs,DeploymentRuntimeVersionIsCorrect,The following statement contains a magic number: Assert.AreEqual(enviromentVersion.Major' 4' string.Format("Environment version was {0}' expected 4.*"' enviromentVersion));
