Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ApplicationDbContext,0,2,5,0,2,31,2,0,0,0,0,1
newmigrationfix,0,2,0,0,2,103,2,0,0,0,0,0
CartPurchasedTable,0,2,0,0,2,27,2,0,0,0,0,0
testRemoveVirtual,0,2,0,0,2,15,2,0,0,0,0,0
restoreVirtual,0,2,0,0,2,15,2,0,0,0,0,0
Configuration,0,2,0,0,1,99,9,0,0,0,6,0
