Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Usergrid.Sdk.Model,NotificationRecipients,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Model\NotificationRecipients.cs,BuildQuery,Cyclomatic complexity of the method is 8
Long Statement,Usergrid.Sdk.Manager,NotificationsManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\NotificationsManager.cs,CreateNotifierForApple,The length of the statement  "	IRestResponse response = Request.ExecuteMultipartFormDataRequest ("/notifiers"' Method.POST' formParameters' fileParameters); " is 125.
Long Statement,Usergrid.Sdk.Manager,EntityManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\EntityManager.cs,UpdateEntity,The length of the statement  "	IRestResponse response = Request.ExecuteJsonRequest (string.Format ("/{0}/{1}"' collection' identifer)' Method.PUT' entity); " is 124.
Long Statement,Usergrid.Sdk.Manager,EntityManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\EntityManager.cs,GetEntity,The length of the statement  "	IRestResponse response = Request.ExecuteJsonRequest (string.Format ("/{0}/{1}"' collectionName' identifer)' Method.GET); " is 120.
Long Statement,Usergrid.Sdk.Manager,AuthenticationManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\AuthenticationManager.cs,ChangePassword,The length of the statement  "	IRestResponse response = Request.ExecuteJsonRequest (string.Format ("/users/{0}/password"' userName)' Method.POST' payload); " is 124.
Long Statement,Usergrid.Sdk.Manager,ConnectionManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\ConnectionManager.cs,CreateConnection,The length of the statement  "	IRestResponse response = Request.ExecuteJsonRequest (string.Format ("/{0}/{1}/{2}/{3}/{4}"' connection.ConnectorCollectionName' connection.ConnectorIdentifier' connection.ConnectionName' connection.ConnecteeCollectionName' connection.ConnecteeIdentifier)' Method.POST); " is 269.
Long Statement,Usergrid.Sdk.Manager,ConnectionManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\ConnectionManager.cs,GetConnections,The length of the statement  "	IRestResponse response = Request.ExecuteJsonRequest (string.Format ("/{0}/{1}/{2}"' connection.ConnectorCollectionName' connection.ConnectorIdentifier' connection.ConnectionName)' Method.GET); " is 192.
Long Statement,Usergrid.Sdk.Manager,ConnectionManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\ConnectionManager.cs,GetConnections,The length of the statement  "	IRestResponse response = Request.ExecuteJsonRequest (string.Format ("/{0}/{1}/{2}/{3}"' connection.ConnectorCollectionName' connection.ConnectorIdentifier' connection.ConnectionName' connection.ConnecteeCollectionName)' Method.GET); " is 232.
Long Statement,Usergrid.Sdk.Manager,ConnectionManager,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Manager\ConnectionManager.cs,DeleteConnection,The length of the statement  "	IRestResponse response = Request.ExecuteJsonRequest (string.Format ("/{0}/{1}/{2}/{3}/{4}"' connection.ConnectorCollectionName' connection.ConnectorIdentifier' connection.ConnectionName' connection.ConnecteeCollectionName' connection.ConnecteeIdentifier)' Method.DELETE); " is 271.
Magic Number,Usergrid.Sdk,UnixDateTimeHelper,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Model\UnixDateTimeHelper.cs,FromUnixTime,The following statement contains a magic number: return ret.AddSeconds (self / 1000);  
Magic Number,Usergrid.Sdk,UnixDateTimeHelper,C:\repos\srabya_usergrid-.net-sdk\Usergrid.Sdk\Model\UnixDateTimeHelper.cs,ToUnixTime,The following statement contains a magic number: return (long)delta.TotalSeconds * 1000;  
