Implementation smell,Namespace,Class,File,Method,Description
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateSimpleSessionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateSimpleSessionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals(expectedUrl))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 190.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateRoutedSessionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateRoutedSessionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals(expectedUrl))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 190.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateSessionWithLocationTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateSessionWithLocationTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals(expectedUrl))' It.IsAny<Dictionary<string' string>>()'  " is 134.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateRoutedSessionWithLocationTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateRoutedSessionWithLocationTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals(expectedUrl))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 190.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateAlwaysArchivedSessionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateAlwaysArchivedSessionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals(expectedUrl))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 190.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateInvalidSessionLocationTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns("This function should not return anything"); " is 200.
