Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MvcReportViewer.Tests,MvcReportViewerIframeFluentTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeFluentTests.cs,IframeFluent_SrcReportServer,The length of the statement  "                $"{TestData.ViewerUri}&amp;{UriParameters.ReportPath}={TestData.ReportName}&amp;{UriParameters.ReportServerUrl}={TestData.Server}"; " is 131.
Long Statement,MvcReportViewer.Tests,MvcReportViewerIframeFluentTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeFluentTests.cs,IframeFluent_SrcReportServerCredentials,The length of the statement  "                $"{TestData.ViewerUri}&amp;{UriParameters.ReportPath}={TestData.ReportName}&amp;{UriParameters.ReportServerUrl}={TestData.Server}&amp;{UriParameters.Username}={TestData.Username}&amp;{UriParameters.Password}={TestData.Password}"; " is 229.
Long Statement,MvcReportViewer.Tests,MvcReportViewerIframeFluentTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeFluentTests.cs,IframeFluent_SrcReportServerCredentialsPromptsParametersId,The length of the statement  "                $"{TestData.ViewerUri}&amp;{UriParameters.ReportPath}={TestData.ReportName}&amp;{UriParameters.ReportServerUrl}={TestData.Server}&amp;{UriParameters.Username}={TestData.Username}&amp;{UriParameters.Password}={TestData.Password}&amp;{TestData.ShowParameterPrompts}={TestData.ShowParameterPromptsValue}&amp;{TestData.ReportParametes}"; " is 333.
Long Statement,MvcReportViewer.Tests,MvcReportViewerIframeTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeTests.cs,Iframe_SrcReportServer,The length of the statement  "                $"{TestData.ViewerUri}&amp;{UriParameters.ReportPath}={TestData.ReportName}&amp;{UriParameters.ReportServerUrl}={TestData.Server}"; " is 131.
Long Statement,MvcReportViewer.Tests,MvcReportViewerIframeTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeTests.cs,Iframe_SrcReportServerCredentials,The length of the statement  "                $"{TestData.ViewerUri}&amp;{UriParameters.ReportPath}={TestData.ReportName}&amp;{UriParameters.ReportServerUrl}={TestData.Server}&amp;{UriParameters.Username}={TestData.Username}&amp;{UriParameters.Password}={TestData.Password}"; " is 229.
Long Statement,MvcReportViewer.Tests,MvcReportViewerIframeTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeTests.cs,Iframe_SrcReportServerCredentialsPromptsParametersId,The length of the statement  "                $"{TestData.ViewerUri}&amp;{UriParameters.ReportPath}={TestData.ReportName}&amp;{UriParameters.ReportServerUrl}={TestData.Server}&amp;{UriParameters.Username}={TestData.Username}&amp;{UriParameters.Password}={TestData.Password}&amp;{TestData.ShowParameterPrompts}={TestData.ShowParameterPromptsValue}&amp;{TestData.FrameHeightParameter}={expectedViewerHeight}px&amp;{TestData.ReportParametes}"; " is 394.
Magic Number,MvcReportViewer.Tests,MvcReportViewerIframeFluentTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeFluentTests.cs,IframeFluent_HeightWidthSrc,The following statement contains a magic number: Assert.AreEqual(2' html.Attributes.Count);
Magic Number,MvcReportViewer.Tests,MvcReportViewerIframeFluentTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeFluentTests.cs,IframeFluent_SrcReportServerCredentialsPromptsParametersId,The following statement contains a magic number: Assert.AreEqual(2' html.Attributes.Count);
Magic Number,MvcReportViewer.Tests,MvcReportViewerIframeFluentTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeFluentTests.cs,IframeFluent_SrcClassId,The following statement contains a magic number: Assert.AreEqual(3' html.Attributes.Count);
Magic Number,MvcReportViewer.Tests,MvcReportViewerIframeTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeTests.cs,Iframe_HeightWidthSrc,The following statement contains a magic number: Assert.AreEqual(2' html.Attributes.Count);
Magic Number,MvcReportViewer.Tests,MvcReportViewerIframeTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeTests.cs,Iframe_SrcReportServerCredentialsPromptsParametersId,The following statement contains a magic number: Assert.AreEqual(3' html.Attributes.Count);
Magic Number,MvcReportViewer.Tests,MvcReportViewerIframeTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeTests.cs,Iframe_SrcReportServerCredentialsPromptsParametersId,The following statement contains a magic number: int expectedViewerHeight = TestData.FrameHeightValue - 20;
Magic Number,MvcReportViewer.Tests,MvcReportViewerIframeTests,D:\research\architectureSmells\repos\ilich_MvcReportViewer\MvcReportViewerTests\MvcReportViewerIframeTests.cs,Iframe_SrcClassId,The following statement contains a magic number: Assert.AreEqual(3' html.Attributes.Count);
