Method,LOC,CC,PC
BaseView:CreateView,3,1,0
BaseView:GetPositions,3,1,0
BaseView:GetPreview,3,1,2
FullScreenPreview:CreateView,14,1,0
FullScreenPreview:GetPositions,3,1,0
LiveView:CreateView,28,1,0
LiveView:GetPositions,3,1,0
LiveView:GetPreview,31,3,2
Preview:CreateView,22,1,0
Preview:GetPositions,3,1,0
Preview:GetPreview,31,3,2
StartScreen:CreateView,16,1,0
StartScreen:GetPositions,3,1,0
StartScreen:GetPreview,25,3,2
LiveviewViewModel:LiveviewViewModel,9,1,0
LiveviewViewModel:Instance_Message,46,2,2
LiveviewViewModel:Dispose,4,1,0
PreviewViewModel:PreviewViewModel,3,1,0
StartScreenViewModel:StartScreenViewModel,6,1,0
LiveViewUI:LiveViewUI,3,1,0
PreviewView:PreviewView,3,1,0
StartScreenView:StartScreenView,3,1,0
