Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,System.ComponentModel.Composition,Microsoft.Internal,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Internal' System.ComponentModel.Composition,Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices
Cyclic Dependency,System.ComponentModel.Composition,Microsoft.Internal,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Internal' System.ComponentModel.Composition.AttributedModel' System.ComponentModel.Composition,Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings' System.ComponentModel.Composition.AttributedModel.AttributedExportDefinition' System.ComponentModel.Composition.AttributedModel.AttributedModelDiscovery' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices
Cyclic Dependency,System.ComponentModel.Composition,Microsoft.Internal,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Internal' System.ComponentModel.Composition' System.ComponentModel.Composition.AttributedModel' System.ComponentModel.Composition,Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' System.ComponentModel.Composition.AttributedModel.AttributedExportDefinition' System.ComponentModel.Composition.AttributedModel.AttributedModelDiscovery
Cyclic Dependency,System.ComponentModel.Composition,Microsoft.Internal,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Internal' System.ComponentModel.Composition.AttributedModel' System.ComponentModel.Composition' System.ComponentModel.Composition.AttributedModel' System.ComponentModel.Composition,Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings' System.ComponentModel.Composition.AttributedModel.AttributedExportDefinition' System.ComponentModel.Composition.AttributedModel.AttributedModelDiscovery' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices
Cyclic Dependency,System.ComponentModel.Composition,Microsoft.Internal.Collections,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Internal.Collections' System.ComponentModel.Composition' Microsoft.Internal,Microsoft.Internal.Collections.CollectionServices' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,Microsoft.Internal.Collections,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Internal.Collections' System.ComponentModel.Composition.ReflectionModel' System.ComponentModel.Composition' Microsoft.Internal,Microsoft.Internal.Collections.CollectionServices' System.ComponentModel.Composition.ReflectionModel.DisposableReflectionComposablePart' System.ComponentModel.Composition.ReflectionModel.ExportFactoryCreator' System.ComponentModel.Composition.ReflectionModel.LifetimeContext' System.ComponentModel.Composition.ReflectionModel.ExportingMember' System.ComponentModel.Composition.ReflectionModel.ImportingMember' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,Microsoft.Internal.Collections,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Internal.Collections' System.ComponentModel.Composition' Microsoft.Internal' System.ComponentModel.Composition' Microsoft.Internal,Microsoft.Internal.Collections.CollectionServices' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel.Composition,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel.Composition' System.ComponentModel.Composition.Hosting' Microsoft.Internal,System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' System.ComponentModel.Composition.Hosting.AggregateCatalog' System.ComponentModel.Composition.Hosting.ApplicationCatalog' System.ComponentModel.Composition.Hosting.CatalogExportProvider' System.ComponentModel.Composition.Hosting.CompositionServices' System.ComponentModel.Composition.Hosting.DirectoryCatalog' System.ComponentModel.Composition.Hosting.PartManager' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel.Composition,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel.Composition' System.ComponentModel.Composition.Primitives' System.ComponentModel.Composition.Hosting' Microsoft.Internal,System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' System.ComponentModel.Composition.Primitives.ComposablePartCatalog' System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition' System.ComponentModel.Composition.Primitives.PrimitivesServices' System.ComponentModel.Composition.Hosting.AggregateCatalog' System.ComponentModel.Composition.Hosting.ApplicationCatalog' System.ComponentModel.Composition.Hosting.CatalogExportProvider' System.ComponentModel.Composition.Hosting.CompositionServices' System.ComponentModel.Composition.Hosting.DirectoryCatalog' System.ComponentModel.Composition.Hosting.PartManager' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel.Composition,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel.Composition' Microsoft.Internal' System.ComponentModel.Composition.Primitives' System.ComponentModel.Composition.Hosting' Microsoft.Internal,System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings' System.ComponentModel.Composition.Primitives.ComposablePartCatalog' System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition' System.ComponentModel.Composition.Primitives.PrimitivesServices' System.ComponentModel.Composition.Hosting.AggregateCatalog' System.ComponentModel.Composition.Hosting.ApplicationCatalog' System.ComponentModel.Composition.Hosting.CatalogExportProvider' System.ComponentModel.Composition.Hosting.CompositionServices' System.ComponentModel.Composition.Hosting.DirectoryCatalog' System.ComponentModel.Composition.Hosting.PartManager
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel' Microsoft.Internal,System.ComponentModel.ExceptionBuilder' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel' System.ComponentModel.Composition' Microsoft.Internal,System.ComponentModel.ExceptionBuilder' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel' Microsoft.Internal' System.ComponentModel.Composition' Microsoft.Internal,System.ComponentModel.ExceptionBuilder' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel' System.ComponentModel.Composition' Microsoft.Internal' System.ComponentModel.Composition' Microsoft.Internal,System.ComponentModel.ExceptionBuilder' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices' Microsoft.Internal.AdaptationHelpers' Microsoft.Internal.ContractServices' Microsoft.Internal.Requires' Microsoft.Internal.CommonStrings
Cyclic Dependency,System.ComponentModel.Composition,System.ComponentModel.Composition.AttributedModel,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: System.ComponentModel.Composition.AttributedModel' System.ComponentModel.Composition,System.ComponentModel.Composition.AttributedModel.AttributedExportDefinition' System.ComponentModel.Composition.AttributedModel.AttributedModelDiscovery' System.ComponentModel.Composition.AttributedModelServices' System.ComponentModel.Composition.ExportServices
