Method,LOC,CC,PC
AspMvcAreaAttribute:AspMvcAreaAttribute,2,1,0
AspMvcAreaAttribute:AspMvcAreaAttribute,3,1,1
AspMvcControllerAttribute:AspMvcControllerAttribute,2,1,0
AspMvcControllerAttribute:AspMvcControllerAttribute,3,1,1
ColumnDescriptor:ColumnDescriptor,3,1,1
ColumnDescriptor:CanResetValue,3,1,1
ColumnDescriptor:GetValue,3,1,1
ColumnDescriptor:ResetValue,2,1,1
ColumnDescriptor:SetValue,2,1,2
ColumnDescriptor:ShouldSerializeValue,3,1,1
FileRow:FileRow,6,2,3
FileRow:GetAttributes,3,1,0
FileRow:GetClassName,3,1,0
FileRow:GetComponentName,3,1,0
FileRow:GetConverter,3,1,0
FileRow:GetDefaultEvent,3,1,0
FileRow:GetDefaultProperty,3,1,0
FileRow:GetEditor,3,1,1
FileRow:GetEvents,3,1,0
FileRow:GetEvents,3,1,1
FileRow:GetProperties,3,1,0
FileRow:GetProperties,3,1,1
FileRow:GetPropertyOwner,3,1,1
FileRow:GetPropertiesCollection,4,1,2
RadioButtonViewModel:RadioButtonViewModel,5,1,3
SeparatorSelectorViewModel:SeparatorSelectorViewModel,3,1,1
SeparatorSelectorViewModel:GetSeparators,8,1,1
RelayCommand:RelayCommand,2,1,1
RelayCommand:RelayCommand,6,2,2
RelayCommand:CanExecute,3,1,1
RelayCommand:Execute,3,1,1
ViewModelBase:OnPropertyChanged,5,2,1
FileViewViewModel:FileViewViewModel,7,2,3
FileViewViewModel:Dispose,4,2,0
FileLoadingViewModel:FileLoadingViewModel,5,2,1
FileLoadingViewModel:LoadFile,3,1,1
FileLoadingViewModel:DetectColumnsSeparator,11,2,0
FileView:FileView,3,1,0
FileView:OnAutoGeneratedColumns,8,1,3
InitialView:InitialView,3,1,0
LoadingView:LoadingView,3,1,0
SeparatorSelectorView:SeparatorSelectorView,3,1,0
SeparatorSelectorView:OnClickOk,4,1,2
MainWindow:MainWindow,3,1,0
MainWindow:OnFileDrop,8,2,2
Resources:Resources,2,1,0
