Implementation smell,Namespace,Class,File,Method,Description
Long Statement,FunBoardTracker.Jira,Client,C:\repos\marius1_FunBoardTracker\FunBoardTracker.Jira\Client.cs,GetSprintReport,The length of the statement  "	var data = simpleRestClient.Get<SprintReport> (String.Format ("rest/greenhopper/1.0/rapid/charts/sprintreport?rapidViewId={0}&sprintId={1}"' rapidViewId' sprintId)); " is 165.
Long Statement,FunBoardTracker.Jira,Client,C:\repos\marius1_FunBoardTracker\FunBoardTracker.Jira\Client.cs,GetSprintOrder,The length of the statement  "	var data = simpleRestClient.Get<Results> (String.Format ("rest/api/2/search?jql=Sprint%20%3D%20{0}%20ORDER%20BY%20Rank&fields=key&maxResults=500"' sprintId)); " is 158.
Long Statement,FunBoardTracker.Jira,SimpleRestClient,C:\repos\marius1_FunBoardTracker\FunBoardTracker.Jira\SimpleRestClient.cs,Request,The length of the statement  "	var authDigest = Convert.ToBase64String (Encoding.Default.GetBytes (String.Format ("{0}:{1}"' credentials.UserName' credentials.Password))); " is 140.
Long Statement,FunBoardTracker.Jira.Converters,JiraDateTimeConverter,C:\repos\marius1_FunBoardTracker\FunBoardTracker.Jira\Converters\JiraDateTimeConverter.cs,WriteJson,The length of the statement  "	string write = dateTimeValue.HasValue ? dateTimeValue.Value.ToString (DATETIME_FORMAT' new CultureInfo ("en-US")) : "None"; " is 123.
