Project,Namespace,Ca types,Ce types
Catel.Core.NET46,Catel.IO,Catel.Configuration.ConfigurationService' Catel.Logging.FileLogListener,Catel.Argument' Catel.Collections.ArrayShim' Catel.Reflection.AssemblyHelper
Catel.Core.NET46,Catel.Linq,,Catel.Argument' Catel.Collections.ArrayShim
Catel.Core.NET46,Catel.Logging,Catel.Services.RollingInMemoryLogService' Catel.Argument' Catel.Disposable' Catel.AsyncEventHandlerExtensions' Catel.ExpressionHelper' Catel.ParallelHelper' Catel.StringToObjectHelper' Catel.WeakAction' Catel.WeakAction<TParameter>' Catel.WeakEventListener<TTarget;TSource;TEventArgs>' Catel.WeakEventListener<TTarget;TSource>' Catel.WeakEventListener' Catel.WeakFunc<TResult>' Catel.WeakFunc<TParameter;TResult>' Catel.Caching.Policies.ExpirationPolicy' Catel.Collections.CollectionExtensions' Catel.Configuration.ConfigurationService' Catel.Data.ValidatableModelBase' Catel.Data.CatelTypeInfo' Catel.Data.ChangeNotificationWrapper' Catel.Data.ModelBase' Catel.Data.BackupData' Catel.Data.PropertyDataManager' Catel.ExceptionHandling.ExceptionService' Catel.IoC.CatelDependencyResolver' Catel.IoC.FirstInterfaceRegistrationConvention' Catel.IoC.NamingRegistrationConvention' Catel.IoC.ServiceLocatorExtensions' Catel.IoC.IoCConfiguration' Catel.IoC.IoCFactory' Catel.IoC.RegistrationConventionHandler' Catel.IoC.ServiceLocator' Catel.IoC.ServiceLocatorAutoRegistrationManager' Catel.IoC.TypeFactory' Catel.IoC.TypeRequestPath' Catel.Messaging.MessageMediatorHelper' Catel.Messaging.MessageMediator' Catel.Core.ModuleInitializer' Catel.Pooling.PoolManager<TPoolable>' Catel.Reflection.AppDomainExtensions' Catel.Reflection.TypeInfoExtensions' Catel.Reflection.AssemblyHelper' Catel.Reflection.PropertyHelper' Catel.Reflection.TypeHelper' Catel.Reflection.TypeCache' Catel.Runtime.RuntimeBindingRedirect' Catel.Runtime.Serialization.ObjectAdapter' Catel.Runtime.Serialization.SerializationManager' Catel.Runtime.Serialization.SerializerBase<TSerializationContext>' Catel.Runtime.Serialization.Binary.BinarySerializer' Catel.Runtime.Serialization.Binary.RedirectDeserializationBinder' Catel.Runtime.Serialization.Xml.DataContractSerializerFactory' Catel.Runtime.Serialization.Xml.XmlHelper' Catel.Runtime.Serialization.Xml.XmlSchemaHelper' Catel.Runtime.Serialization.Xml.XmlSerializer' Catel.Scoping.ScopeManager<T>' Catel.Services.LanguageService,Catel.Threading.Timer' Catel.Threading.TaskHelper' Catel.IoC.ITypeFactory' Catel.ObjectToStringHelper' Catel.Reflection.TypeCache' Catel.IoC.IoCConfiguration' Catel.StringToObjectHelper' Catel.Reflection.PropertyHelper' Catel.Reflection.AssemblyHelper' Catel.Argument' Catel.ExceptionFactory' Catel.HttpContextHelper' Catel.IO.Path' Catel.IO.ApplicationDataTarget' Catel.FastDateTime' Catel.ThreadHelper' Catel.Reflection.StaticHelper
Catel.Core.NET46,Catel.Messaging,Catel.CoreModule,Catel.Logging.ILog' Catel.IoC.IDependencyResolver' Catel.Argument' Catel.IoC.IoCConfiguration' Catel.Reflection.BindingFlagsHelper' Catel.Reflection.DelegateHelper' Catel.TagHelper' Catel.ObjectToStringHelper' Catel.IWeakAction' Catel.IWeakReference' Catel.IExecuteWithObject' Catel.IoC.IServiceLocator
Catel.Core.NET46,Catel.Core,,Catel.Logging.ILog' Catel.IoC.IServiceLocator' Catel.CoreModule' Catel.Logging.LogManager' Catel.IoC.ServiceLocator' Catel.HttpContextHelper' Catel.Reflection.TypeCache' Catel.Reflection.AssemblyHelper
Catel.Core.NET46,Catel.Pooling,,Catel.UniqueIdentifierHelper' Catel.Logging.ILog
Catel.Core.NET46,Catel.Reflection,Catel.Data.ValidatableModelBase' Catel.Data.PropertyData' Catel.Runtime.Serialization.SerializationManager' Catel.IoC.IoCFactory' Catel.IoC.TypeFactory' Catel.ApiCop.TextApiCopListenerBase' Catel.IoC.RegistrationConventionHandler' Catel.IO.Path' Catel.Logging.LogExtensions' Catel.Logging.JsonLogFormatter' Catel.Logging.EventLogListener' Catel.Logging.FileLogListener' Catel.Core.ModuleInitializer' Catel.Services.LanguageService' Catel.Enum<TEnum>' Catel.WeakEventListener<TTarget;TSource>' Catel.WeakEventListener' Catel.Data.CatelTypeInfo' Catel.Messaging.MessageMediatorHelper' Catel.Runtime.Serialization.Xml.DataContractSerializerFactory' Catel.WeakAction' Catel.WeakAction<TParameter>' Catel.WeakEventListener<TTarget;TSource;TEventArgs>' Catel.WeakFunc<TResult>' Catel.WeakFunc<TParameter;TResult>' Catel.ExpressionHelper' System.ComponentModel.PropertyChangedEventArgsExtensions' Catel.Data.AdvancedPropertyChangedEventArgs' Catel.Data.ModelBase' Catel.Logging.LogListenerConfiguration' Catel.ApiCop.ApiCopManager' Catel.Logging.LogManager' Catel.Data.ValidatorBase<TTargetType>' Catel.Runtime.RuntimeBindingRedirect' Catel.Runtime.Serialization.Binary.RedirectDeserializationBinder' Catel.Runtime.Serialization.Xml.XmlSerializer' Catel.ObjectToStringHelper' Catel.Runtime.Serialization.SerializerBase<TSerializationContext>' Catel.HttpContextHelper' Catel.Platforms' Catel.IoC.ServiceLocatorAutoRegistrationManager' Catel.Runtime.Serialization.KeyValuePairSerializerModifier,Catel.Argument' Catel.Logging.ILog' Catel.Caching.ICacheStorage' Catel.Collections.ArrayShim' Catel.Flags' Catel.Collections.CollectionHelper' Catel.Data.ModelBase' Catel.IoC.IServiceLocator' Catel.IoC.ServiceLocator' Catel.HttpContextHelper' Catel.Threading.TaskHelper' Catel.Threading.TaskShim
Catel.Core.NET46,Catel.Runtime,Catel.Runtime.Serialization.Binary.BinarySerializer' Catel.Runtime.Serialization.Xml.XmlSerializer' Catel.Data.ModelBase,Catel.Logging.ILog' Catel.Argument' Catel.Reflection.TypeHelper
Catel.Core.NET46,Catel.Runtime.Serialization,Catel.Data.ModelBase' Catel.Runtime.Serialization.Xml.XmlNamespaceManager' Catel.Runtime.Serialization.Binary.BinarySerializer' Catel.Runtime.Serialization.Xml.XmlSerializer' Catel.Data.IModelExtensions' Catel.Data.ISavableModelExtensions' Catel.Data.ISavableModel' Catel.Data.SavableModelBase<T>' Catel.Runtime.Serialization.Binary.BinarySerializationContextInfoFactory' Catel.Runtime.Serialization.Xml.XmlSerializationContextInfoFactory' Catel.Configuration.DynamicConfigurationSerializerModifier' Catel.Configuration.ConfigurationService' Catel.Runtime.Serialization.Xml.XmlSchemaHelper' Catel.Data.ModelBaseExtensions' Catel.Data.BackupData,Catel.Argument' Catel.ThreadHelper' Catel.ObjectToStringHelper' Catel.Reflection.TypeCache' Catel.StringToObjectHelper' Catel.Logging.ILog' Catel.Data.IModelEditor' Catel.DisposableToken' Catel.IoC.IDependencyResolver' Catel.IoC.IoCConfiguration' Catel.Runtime.Serialization.Binary.IBinarySerializer' Catel.Runtime.Serialization.Xml.IXmlSerializer' Catel.IoC.ITypeFactory' Catel.Caching.ICacheStorage' Catel.Data.PropertyData' Catel.Reflection.CachedPropertyInfo' Catel.Data.PropertyDataManager' Catel.Data.CatelTypeInfo' Catel.Data.ModelBase' Catel.ApiCop.IApiCop' Catel.ApiCop.Rules.InitializationMode' Catel.ApiCop.ApiCopRuleLevel' Catel.ParallelHelper' Catel.Reflection.TypeArray
Catel.Core.NET46,Catel.Runtime.Serialization.Binary,Catel.CoreModule' Catel.Runtime.Serialization.SerializationFactory,Catel.Argument' Catel.Runtime.Serialization.ISerializer' Catel.Runtime.Serialization.ISerializationConfiguration' Catel.Logging.ILog' Catel.Runtime.Serialization.ISerializationManager' Catel.IoC.ITypeFactory' Catel.Runtime.Serialization.IObjectAdapter' Catel.Runtime.ReferenceManager' Catel.Runtime.Serialization.SerializationContextMode' Catel.Runtime.Serialization.ISerializationContext' Catel.Runtime.Serialization.MemberValue' Catel.Runtime.Serialization.SerializationMemberGroup' Catel.Runtime.Serialization.SerializationObject' Catel.Runtime.ReferenceInfo' Catel.Data.PropertyValue' Catel.Reflection.TypeCache' Catel.ParallelHelper' Catel.Reflection.TypeArray' Catel.Reflection.TypeHelper
Catel.Core.NET46,Catel.Runtime.Serialization.Xml,Catel.Configuration.ConfigurationService' Catel.Runtime.Serialization.SerializationFactory' Catel.Configuration.DynamicConfigurationSerializerModifier' Catel.Data.ModelBase' Catel.CoreModule,Catel.Logging.ILog' Catel.Argument' Catel.Reflection.TypeCache' Catel.Reflection.BindingFlagsHelper' Catel.Collections.ArrayShim' Catel.IoC.IDependencyResolver' Catel.IoC.IoCConfiguration' Catel.Runtime.Serialization.ISerializationManager' Catel.Runtime.Serialization.ISerializer' Catel.Runtime.Serialization.ISerializationConfiguration' Catel.Runtime.Serialization.SerializationContextHelper' Catel.Scoping.ScopeClosedEventArgs' Catel.Data.ModelBase' Catel.IoC.ITypeFactory' Catel.Runtime.Serialization.IObjectAdapter' Catel.Runtime.Serialization.ISerializationContext' Catel.Data.PropertyDataManager' Catel.Runtime.ReferenceManager' Catel.Runtime.ReferenceInfo' Catel.Runtime.Serialization.MemberValue' Catel.Runtime.Serialization.SerializationMemberGroup' Catel.Runtime.Serialization.SerializationObject' Catel.Runtime.Serialization.SerializationContextMode' Catel.StringToObjectHelper' Catel.ObjectToStringHelper' Catel.Logging.LogManager' Catel.Reflection.TypeHelper
Catel.Core.NET46,Catel.Scoping,Catel.Runtime.Serialization.Xml.XmlNamespaceManager,Catel.Logging.ILog' Catel.IoC.ITypeFactory' Catel.Argument
Catel.Core.NET46,Catel.Services,Catel.Configuration.ConfigurationService' Catel.LanguageHelper' Catel.ResourceHelper' Catel.ComponentModel.DisplayNameAttribute,Catel.Logging.RollingInMemoryLogListener' Catel.Logging.LogManager' Catel.Logging.LogMessageEventArgs' Catel.Logging.ILog' Catel.Caching.ICacheStorage' Catel.Platforms' Catel.SupportedPlatforms' Catel.Argument' Catel.Reflection.AssemblyHelper' Catel.ObjectToStringHelper' Catel.StringToObjectHelper
Catel.Core.NET46,Catel.Test,,Catel.Argument
Catel.Core.NET46,Catel.Text,,
Catel.Core.NET46,Catel.Threading,Catel.Caching.CacheStorage<TKey;TValue>' Catel.ParallelHelper' Catel.ExceptionHandling.ExceptionService' Catel.ExceptionHandling.ExceptionServiceExtensions' Catel.Logging.BatchLogListenerBase' Catel.Logging.EventLogListener' Catel.Reflection.TypeCache' Catel.AsyncEventHandlerExtensions' Catel.Caching.Policies.CompositeExpirationPolicy' Catel.Data.CompositeValidator,Catel.Argument' Catel.DisposableToken
