Architecture smell,Project,Namespace,Cause
Unstable Dependency,Catel.MVVM.NET46,Catel.Windows,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM.Providers
Unstable Dependency,Catel.MVVM.NET46,Catel,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM
Unstable Dependency,Catel.MVVM.NET46,Catel.MVVM,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM.Auditing' Catel.Windows' Catel.Messaging
Unstable Dependency,Catel.MVVM.NET46,Catel.MVVM.Converters,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.Windows
Unstable Dependency,Catel.MVVM.NET46,Catel.MVVM.Navigation,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM
Unstable Dependency,Catel.MVVM.NET46,Catel.MVVM.Views,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM
Unstable Dependency,Catel.MVVM.NET46,Catel.Services,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM' Catel.Windows' Catel.Windows.Controls
Unstable Dependency,Catel.MVVM.NET46,Catel.Windows.Controls,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM.Providers
Unstable Dependency,Catel.MVVM.NET46,Catel.Windows.Data,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.MVVM
Ambiguous Interface,Catel.MVVM.NET46,Catel.Windows,The tool detected the smell in this component because the component provides only a single' general entry-point via the following class: MediaElementThreadInfo
Ambiguous Interface,Catel.MVVM.NET46,Catel,The tool detected the smell in this component because the component provides only a single' general entry-point via the following class: MVVMModule
God Component,Catel.MVVM.NET46,Catel.MVVM,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 76
God Component,Catel.MVVM.NET46,Catel.MVVM.Converters,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 45
God Component,Catel.MVVM.NET46,Catel.Services,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 79
God Component,Catel.MVVM.NET46,Catel.Windows.Interactivity,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 37
