Architecture smell,Project,Namespace,Cause,Responsible Classes
Unstable Dependency,Catel.Serialization.Json.NET46,Catel,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Catel.Runtime.Serialization.Json,Catel.JsonSerializer
Feature Concentration,Catel.Serialization.Json.NET46,Catel.Runtime.Serialization.Json,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ICustomJsonSerializable' JsonSerializer' JsonSerializationConfiguration' JsonSerializationContextInfoFactory' JsonSerializationContextInfo' CatelJsonConverter' IJsonSerializer]' [CatelJsonContractResolver]. LCC (Lack of Component Cohesion) = 0.25,Catel.Runtime.Serialization.Json.CatelJsonContractResolver
