Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Cassette.Spriting,SpritingIntegrationTest,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\SpritingIntegrationTest.cs,CreateContainer,The length of the statement  "            container.Register<IUrlGenerator>(new UrlGenerator(new VirtualDirectoryPrepender("/")' sourceDirectory' "cassette.axd/")); " is 122.
Magic Number,Cassette.Spriting,ImageFileLoader_GetImageBytesTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\ImageFileLoader.cs,ImageFileLoader_GetImageBytesTests,The following statement contains a magic number: urlGenerator                  .Setup(g => g.CreateRawFileUrl(It.IsAny<string>()))                  .Returns<string>(                      filename => "/cassette.axd/file/" + filename.Substring(2) + "-hash.png"                  );
Magic Number,Cassette.Spriting,ImageFileLoader_GetImageBytesTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\ImageFileLoader.cs,ReadsBytesFromFile,The following statement contains a magic number: var directory = new FakeFileSystem              {                  { "~/test.png"' new byte[] { 1' 2' 3 } }              };
Magic Number,Cassette.Spriting,ImageFileLoader_GetImageBytesTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\ImageFileLoader.cs,ReadsBytesFromFile,The following statement contains a magic number: var directory = new FakeFileSystem              {                  { "~/test.png"' new byte[] { 1' 2' 3 } }              };
Magic Number,Cassette.Spriting,ImageFileLoader_GetImageBytesTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\ImageFileLoader.cs,ReadsBytesFromFile,The following statement contains a magic number: output.ShouldEqual(new byte[] { 1' 2' 3 });
Magic Number,Cassette.Spriting,ImageFileLoader_GetImageBytesTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\ImageFileLoader.cs,ReadsBytesFromFile,The following statement contains a magic number: output.ShouldEqual(new byte[] { 1' 2' 3 });
Magic Number,Cassette.Spriting,SpriteUrlGeneratorTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\SpriteUrlGenerator.cs,CreatedUrlIsModifiedHashOfImageBytes,The following statement contains a magic number: var image = new byte[] { 1' 2' 3 };
Magic Number,Cassette.Spriting,SpriteUrlGeneratorTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\SpriteUrlGenerator.cs,CreatedUrlIsModifiedHashOfImageBytes,The following statement contains a magic number: var image = new byte[] { 1' 2' 3 };
Magic Number,Cassette.Spriting,SpritingIntegrationTest,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\SpritingIntegrationTest.cs,SingleSpriteImageCreatedInCacheSpritesDirectory,The following statement contains a magic number: spriteImage.Height.ShouldEqual(20);
Magic Number,Cassette.Spriting,SpritingIntegrationTest,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\SpritingIntegrationTest.cs,SingleSpriteImageCreatedInCacheSpritesDirectory,The following statement contains a magic number: spriteImage.Width.ShouldEqual(42);
Magic Number,Cassette.Spriting,StylesheetBundleExtensions,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\StylesheetBundleExtensions.cs,SpriteImagesAddsSpriteImagesBundleProcessorToEndOfPipeline,The following statement contains a magic number: const int endOfPipeline = 42;
Magic Number,Cassette.Spriting,Test,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\Test.cs,TestSpriting,The following statement contains a magic number: var spritingSettings = new SpritingSettings              {                  SpriteSizeLimit = 100 * 100'                  SpriteColorLimit = 4096'                  ImageOptimizationDisabled = true'                  ImageQuantizationDisabled = true              };
Magic Number,Cassette.Spriting,Test,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\Test.cs,TestSpriting,The following statement contains a magic number: var spritingSettings = new SpritingSettings              {                  SpriteSizeLimit = 100 * 100'                  SpriteColorLimit = 4096'                  ImageOptimizationDisabled = true'                  ImageQuantizationDisabled = true              };
Magic Number,Cassette.Spriting,Test,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\Test.cs,TestSpriting,The following statement contains a magic number: var spritingSettings = new SpritingSettings              {                  SpriteSizeLimit = 100 * 100'                  SpriteColorLimit = 4096'                  ImageOptimizationDisabled = true'                  ImageQuantizationDisabled = true              };
Magic Number,Cassette.Spriting,Test,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\Test.cs,TestSpriting,The following statement contains a magic number: bmp.Width.ShouldEqual(22);
Magic Number,Cassette.Spriting,Test,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.Spriting.UnitTests\Test.cs,TestSpriting,The following statement contains a magic number: bmp.Height.ShouldEqual(10);
