Implementation smell,Namespace,Class,File,Method,Description
Long Statement,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The length of the statement  "			float topOffset = (float)(UIApplication.SharedApplication.StatusBarFrame.Size.Height + NavigationController.NavigationBar.Frame.Size.Height); " is 141.
Long Statement,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The length of the statement  "			var locationField = new FloatLabeledTextField(new CGRect(FieldHMargin + FieldHMargin + priceField.Frame.Size.Width + 1.0f'  " is 122.
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var titleField = new FloatLabeledTextField(new CGRect(FieldHMargin' topOffset'   				View.Frame.Size.Width - 2 * FieldHMargin'   				FieldHeight))  			{  				Placeholder = "Title"'  				Font = UIFont.SystemFontOfSize(FieldFontSize)'  				ClearButtonMode = UITextFieldViewMode.WhileEditing'  				FloatingLabelFont = UIFont.BoldSystemFontOfSize(FieldFloatingLabelFontSize)'  				FloatingLabelTextColor = floatingLabelColor'  				FloatingLabelActiveTextColor = floatingLabelActiveColor  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var div1 = new UIView(new CGRect(FieldHMargin'   				titleField.Frame.Y + titleField.Frame.Size.Height'   				View.Frame.Size.Width - 2 * FieldHMargin' 1))  			{  				BackgroundColor = UIColor.LightGray.ColorWithAlpha(0.3f)  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var div1 = new UIView(new CGRect(FieldHMargin'   				titleField.Frame.Y + titleField.Frame.Size.Height'   				View.Frame.Size.Width - 2 * FieldHMargin' 1))  			{  				BackgroundColor = UIColor.LightGray.ColorWithAlpha(0.3f)  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var priceField = new FloatLabeledTextField(new CGRect(FieldHMargin'   				div1.Frame.Y + div1.Frame.Size.Height'   				80' FieldHeight))  			{  				Placeholder = "Price"'  				Font = UIFont.SystemFontOfSize(FieldFontSize)'  				FloatingLabelFont = UIFont.BoldSystemFontOfSize(FieldFloatingLabelFontSize)'  				FloatingLabelTextColor = floatingLabelColor'  				FloatingLabelActiveTextColor = floatingLabelActiveColor'  				Text = "3.14"  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var div2 = new UIView(new CGRect(FieldHMargin + priceField.Frame.Size.Width'   				titleField.Frame.Y + titleField.Frame.Size.Height'   				1' FieldHeight))  			{  				BackgroundColor = UIColor.LightGray.ColorWithAlpha(0.3f)  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var locationField = new FloatLabeledTextField(new CGRect(FieldHMargin + FieldHMargin + priceField.Frame.Size.Width + 1.0f'   				div1.Frame.Y + div1.Frame.Size.Height'  				View.Frame.Size.Width - 3 * FieldHMargin - priceField.Frame.Size.Width - 1.0f'   				FieldHeight))  			{  				Placeholder = "Specific Location (optional)"'  				Font = UIFont.SystemFontOfSize(FieldFontSize)'  				FloatingLabelFont = UIFont.BoldSystemFontOfSize(FieldFloatingLabelFontSize)'  				FloatingLabelTextColor = floatingLabelColor'  				FloatingLabelActiveTextColor = floatingLabelActiveColor  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var div3 = new UIView(new CGRect(FieldHMargin'   				priceField.Frame.Y + priceField.Frame.Size.Height'  				View.Frame.Size.Width - 2 * FieldHMargin' 1))  			{  				BackgroundColor = UIColor.LightGray.ColorWithAlpha(0.3f)  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var div3 = new UIView(new CGRect(FieldHMargin'   				priceField.Frame.Y + priceField.Frame.Size.Height'  				View.Frame.Size.Width - 2 * FieldHMargin' 1))  			{  				BackgroundColor = UIColor.LightGray.ColorWithAlpha(0.3f)  			};
Magic Number,FLEDemo.iOS,MainViewController,D:\research\architectureSmells\repos\gshackles_JVFloatSharp\samples\FLEDemo.iOS\MainViewController.cs,ViewDidLoad,The following statement contains a magic number: var descriptionField = new FloatLabeledTextField(new CGRect(FieldHMargin'   				div3.Frame.Y + div3.Frame.Size.Height'  				View.Frame.Size.Width - 2 * FieldHMargin'   				FieldHeight))  			{  				Placeholder = "Description"'  				Font = UIFont.SystemFontOfSize(FieldFontSize)'  				FloatingLabelFont = UIFont.BoldSystemFontOfSize(FieldFloatingLabelFontSize)'  				FloatingLabelTextColor = floatingLabelColor'  				FloatingLabelActiveTextColor = floatingLabelActiveColor  			};
