Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Zumero.DataGrid.Demo.XF,ColumnishGrid,C:\repos\ericsink_DrawnDataGridFramework\demo.XF.RxUI\grids.cs,ColumnishGrid,The following statement contains a magic number: Top = new FrozenRowsPanel (colinfo' new Dimension_Steady (1' 40' false)' new DrawVisible_Adapter_DrawCell<IGraphics> (new DrawCell_Chain_Padding (padding1' new DrawCell_Fill (bginfo_gray' new DrawCell_Text (new myFrozenGetCellTextValue (this)' new ValuePerCell_Steady<MyTextFormat> (new MyTextFormat {  	TextFont = Font.SystemFontOfSize (20' Xamarin.Forms.FontAttributes.Bold)'  	TextColor = Color.Red'  	HorizontalTextAlignment = TextAlignment.Center'  	VerticalTextAlignment = TextAlignment.Center  }))))));  
Magic Number,Zumero.DataGrid.Demo.XF,ColumnishGrid,C:\repos\ericsink_DrawnDataGridFramework\demo.XF.RxUI\grids.cs,ColumnishGrid,The following statement contains a magic number: Top = new FrozenRowsPanel (colinfo' new Dimension_Steady (1' 40' false)' new DrawVisible_Adapter_DrawCell<IGraphics> (new DrawCell_Chain_Padding (padding1' new DrawCell_Fill (bginfo_gray' new DrawCell_Text (new myFrozenGetCellTextValue (this)' new ValuePerCell_Steady<MyTextFormat> (new MyTextFormat {  	TextFont = Font.SystemFontOfSize (20' Xamarin.Forms.FontAttributes.Bold)'  	TextColor = Color.Red'  	HorizontalTextAlignment = TextAlignment.Center'  	VerticalTextAlignment = TextAlignment.Center  }))))));  
