Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AshMind.Extensions.ReadMeGenerator,MarkdownGenerator,D:\research\architectureSmells\repos\ashmind_ashmind-extensions\ReadMeGenerator\MarkdownGenerator.cs,WriteTo,The length of the statement  "            writer.WriteLine("[![Build status](https://ci.appveyor.com/api/projects/status/jg5841626qcwpc6b)](https://ci.appveyor.com/project/ashmind/ashmind-extensions)"); " is 160.
Long Statement,AshMind.Extensions.ReadMeGenerator,MarkdownGenerator,D:\research\architectureSmells\repos\ashmind_ashmind-extensions\ReadMeGenerator\MarkdownGenerator.cs,WriteTo,The length of the statement  "            writer.WriteLine("A set of very conservative extension methods — most of those closely follow common naming and implementation patterns in the .NET framework. You can get it from NuGet as [AshMind.Extensions](https://www.nuget.org/packages/AshMind.Extensions/)."); " is 264.
