Implementation smell,Namespace,Class,File,Method,Description
Complex Method,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,Cyclomatic complexity of the method is 8
Long Parameter List,SportsStreamsBot.Data,Stream,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\Data\Stream.cs,Stream,The method has 9 parameters.
Long Statement,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The length of the statement  "		var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId); " is 132.
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
Magic Number,SportsStreamsBot,GamesReader,C:\repos\pudds_SportsStreamsBot\src\SportsStreamsBot\DataReader.cs,AddLiveStreams,The following statement contains a magic number: foreach (var streamString in contents.Split (new[] {  	';'  }' StringSplitOptions.RemoveEmptyEntries)) {  	var data = streamString.Split ('|');  	// I don't know what all the parts are' but I know enough...  	/* 					0 seasonid			2012| 					1 gameTime(E)		2013-05-18 20:00:00| 					2 month of season	3| 					3 gameid			41200216| 					4 feedName			IND	41200216 (Home Feed)| 					5 unknown			NYK| 					6 homeStreamName	ind| 					7 awayStreamName	nyk| 					8 homeCity			IND| 					9 awayCity			NYK| 					10 unknown			172.16.72.77| 					11 streamUrl		adaptive://nlds127.neulion.com:443/nlds/nba/ind/as/live/s_ind_live_game_hd| 					12 feedType			home| 					13 feedId?			3_41200216_nyk_ind_2012_h; 				 */// this is   	var gameTimeEastern = DateTime.Parse (data [1]);  	// this is ugly' but the feed time is eastern and contains no timezone info  	// at least a config setting makes this a bit less ugly should someone else run this some day...  	gameTimeEastern = gameTimeEastern.AddHours (offsetFromEasternTime);  	var seasonId = int.Parse (data [0]);  	var monthId = int.Parse (data [2]);  	var gameId = int.Parse (data [3]);  	var homeStreamName = data [6];  	var awayStreamName = data [7];  	var homeCity = data [8];  	var awayCity = data [9];  	var streamUrl = data [11];  	var feedType = (Stream.FeedTypes)Enum.Parse (typeof(Stream.FeedTypes)' data [12]' true);  	var stream = new Stream (gameTimeEastern' homeStreamName' awayStreamName' homeCity' awayCity' streamUrl' feedType' gameId' monthId);  	if (!streams.ContainsKey (stream.Key)) {  		streams.Add (stream.Key' new List<Stream> ());  	}  	streams [stream.Key].Add (stream);  }  
