Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,SharpGen,SharpGen,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpGen' SharpGen.Parser,SharpGen.CodeGenApp' SharpGen.Parser.CastXml' SharpGen.Parser.MacroManager' SharpGen.Parser.CppParser
Cyclic Dependency,SharpGen,SharpGen,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpGen' SharpGen.Generator' SharpGen.Model' SharpGen.Generator,SharpGen.CodeGenApp' SharpGen.Generator.EnumTransform' SharpGen.Generator.InterfaceTransform' SharpGen.Generator.TransformManager' SharpGen.Model.CsAssembly' SharpGen.Model.CsBase
Cyclic Dependency,SharpGen,SharpGen.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpGen.Model' SharpGen.Generator,SharpGen.Model.CsAssembly' SharpGen.Model.CsBase' SharpGen.Generator.EnumTransform' SharpGen.Generator.InterfaceTransform' SharpGen.Generator.TransformManager
Cyclic Dependency,SharpGen,SharpGen.Generator,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpGen.Generator' SharpGen' SharpGen.Parser' SharpGen,SharpGen.Generator.EnumTransform' SharpGen.Generator.InterfaceTransform' SharpGen.Generator.TransformManager' SharpGen.CodeGenApp' SharpGen.Parser.CastXml' SharpGen.Parser.MacroManager' SharpGen.Parser.CppParser
Unstable Dependency,SharpGen,SharpGen,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): SharpGen.Parser' SharpGen.Generator,SharpGen.CppParser' SharpGen.TransformManager' SharpGen.NamingRulesManager
Unstable Dependency,SharpGen,SharpGen.Model,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): SharpGen.Generator,SharpGen.Model.TransformManager
Ambiguous Interface,SharpGen,SharpGen.Bing,The tool detected the smell in this component because the component provides only a single' general entry-point via the following class: BingPortTypeClient,SharpGen.Bing.BingPortTypeClient
God Component,SharpGen,SharpGen.Bing,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46,SharpGen.Bing.AdultOption' SharpGen.Bing.SearchOption' SharpGen.Bing.SourceType' SharpGen.Bing.WebSearchOption' SharpGen.Bing.MobileWebSearchOption' SharpGen.Bing.NewsSortOption' SharpGen.Bing.VideoSortOption' SharpGen.Bing.PhonebookSortOption' SharpGen.Bing.BingPortTypeChannel' SharpGen.Bing.BingPortType' SharpGen.Bing.WebRequest' SharpGen.Bing.Error' SharpGen.Bing.MobileWebResult' SharpGen.Bing.MobileWebResponse' SharpGen.Bing.NewsArticle' SharpGen.Bing.NewsCollection' SharpGen.Bing.NewsResult
Feature Concentration,SharpGen,SharpGen,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DocItem]' [DocSubItem]' [DocProvider]' [Global]' [CodeGenApp' Program' ProgressForm' Utilities]' [Utility]. LCC (Lack of Component Cohesion) = 0.67,SharpGen.DocItem' SharpGen.DocSubItem' SharpGen.DocProvider' SharpGen.Global' SharpGen.Utility
Scattered Functionality,SharpGen,SharpGen.Generator,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SharpGen.CppModel' SharpGen.Model' SharpGen.Logging,SharpGen.CppModel.CppElement' SharpGen.Model.CppElementExtensions' SharpGen.Logging.Logger' SharpGen.Model.CsBase' SharpGen.Model.CsMethod' SharpGen.CppModel.CppType' SharpGen.Model.CsTypeBase
Scattered Functionality,SharpGen,SharpGen.Generator,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SharpGen.CppModel' SharpGen.Model,SharpGen.CppModel.CppElement' SharpGen.Model.CsBase
Scattered Functionality,SharpGen,SharpGen.Generator,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SharpGen.Logging' SharpGen.Model,SharpGen.Logging.Logger' SharpGen.Model.CsBase' SharpGen.Model.CppElementExtensions
Scattered Functionality,SharpGen,SharpGen.Generator,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SharpGen.CppModel' SharpGen.Logging,SharpGen.CppModel.CppElement' SharpGen.Logging.Logger
Scattered Functionality,SharpGen,SharpGen.Parser,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SharpGen.Logging' SharpGen.CppModel,SharpGen.Logging.Logger' SharpGen.CppModel.CppElement' SharpGen.CppModel.CppModule
