Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 100' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(12' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(62' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(112' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(162' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(212' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AnswerView,The following statement contains a magic number: _defaultPositions.Add(new CGRect(262' 160' 45' 45));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,Draw,The following statement contains a magic number: UIBezierPath rectanglePath = UIBezierPath.FromRect(new CGRect(25' 50' rect.Width - 50' 0));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,Draw,The following statement contains a magic number: UIBezierPath rectanglePath = UIBezierPath.FromRect(new CGRect(25' 50' rect.Width - 50' 0));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,Draw,The following statement contains a magic number: UIBezierPath rectanglePath = UIBezierPath.FromRect(new CGRect(25' 50' rect.Width - 50' 0));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,Draw,The following statement contains a magic number: rectanglePath.LineWidth = 1.2f;
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,Draw,The following statement contains a magic number: i < 12
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,SetTargetWord,The following statement contains a magic number: int remainingLength = 11 - targetLength;
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,SetTargetWord,The following statement contains a magic number: remainingLength = 12 - letters.Length;
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,GetLetter,The following statement contains a magic number: int num = random.Next(0' 26);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,RemoveButtonFromAnswer,The following statement contains a magic number: Animate(0.2' 0' UIViewAnimationOptions.TransitionCurlUp'                  () =>                  {                      button.Frame = frame;                      button.Alpha = 1f;                      button.BackgroundColor = "E6E5E7".ToUIColor();                      button.SetTitleColor("434343".ToUIColor()' UIControlState.Normal);                  }' () => { });
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,ButtonBuilder,The following statement contains a magic number: button.Font = UIFont.FromName("Raleway-Light"' 18);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,AdjustPositions,The following statement contains a magic number: Animate(0.2' 0' UIViewAnimationOptions.TransitionCurlUp'                      () => { button.Frame = CalculatePosition(_buttonsUsedInAnswer.IndexOf(button)); }' () => { });
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,CalculatePosition,The following statement contains a magic number: int a = 18 + (18*(buttonPosition));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,CalculatePosition,The following statement contains a magic number: int a = 18 + (18*(buttonPosition));
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,CalculatePosition,The following statement contains a magic number: return new CGRect(a' 15' 28' 28);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,CalculatePosition,The following statement contains a magic number: return new CGRect(a' 15' 28' 28);
Magic Number,Spelling.Core,AnswerView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\AnswerView.cs,CalculatePosition,The following statement contains a magic number: return new CGRect(a' 15' 28' 28);
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,WordView,The following statement contains a magic number: _title = new UILabel(new CGRect(0' 45' frame.Width' 50))              {                  TextAlignment = UITextAlignment.Center'                  TextColor = "3C3C3C".ToUIColor()'                  Font = UIFont.FromName("Raleway-SemiBold"' 32)'                  Text = title              };
