Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Refit.Generator,InterfaceStubGenerator,C:\research\architectureSmells\repos\paulcbetts_refit\InterfaceStubGenerator.Core\InterfaceStubGenerator.cs,ExtractTemplateSource,The length of the statement  "            var ourPath = Path.Combine(Path.GetDirectoryName(Assembly.GetExecutingAssembly().Location)' "GeneratedInterfaceStubTemplate.mustache"); " is 135.
Long Statement,Refit.Generator,InterfaceStubGenerator,C:\research\architectureSmells\repos\paulcbetts_refit\InterfaceStubGenerator.Core\InterfaceStubGenerator.cs,ExtractTemplateSource,The length of the statement  "            using var src = typeof(InterfaceStubGenerator).Assembly.GetManifestResourceStream("Refit.Generator.GeneratedInterfaceStubTemplate.mustache"); " is 141.
Long Statement,Refit.Generator,InterfaceStubGenerator,C:\research\architectureSmells\repos\paulcbetts_refit\InterfaceStubGenerator.Core\InterfaceStubGenerator.cs,GenerateClassInfoForInterface,The length of the statement  "                    TypeParametersInfo = (t is GenericNameSyntax g ? g.TypeArgumentList.Arguments.Select(a => a.GetTypeInfo()).ToList() : null) " is 123.
Long Statement,Refit.Generator,InterfaceDeclarationExtension,C:\research\architectureSmells\repos\paulcbetts_refit\InterfaceStubGenerator.Core\InterfaceStubGenerator.cs,DescendantsAndSelf,The length of the statement  "            var children = childrenFunc(interfaceDeclaration)?.Where(x => x != null).SelectMany(x => x.DescendantsAndSelf(childrenFunc)); " is 125.
Long Statement,Refit.Generator,InterfaceDeclarationExtension,C:\research\architectureSmells\repos\paulcbetts_refit\InterfaceStubGenerator.Core\InterfaceStubGenerator.cs,GetTypeInfo,The length of the statement  "                return new TypeInfo { Name = g.Identifier.ValueText' Children = g.TypeArgumentList.Arguments.Select(a => a.GetTypeInfo()).ToList() }; " is 133.
