Implementation smell,Namespace,Class,File,Method,Description
Long Method,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The method has 414 lines of code.
Long Parameter List,Raffles.Data.Services.Repository,WinnerRepository,C:\repos\rickspears_Raffles\Raffles.Data.Services\Repository\WinnerRepository.cs,GetBy,The method has 5 parameters.
Long Parameter List,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The method has 33 parameters.
Long Statement,Raffles.Data.Services.Repository,WinnerRepository,C:\repos\rickspears_Raffles\Raffles.Data.Services\Repository\WinnerRepository.cs,GetBy,The length of the statement  "	return DbSet.FirstOrDefault (w => w.RaffleId == RaffleId && w.RaffleCounter == RaffleCounter && w.ParticipantId == ParticipantId && w.ItemId == ItemId); " is 152.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//Item itemA = new Item() { Name = "FuzzyToadSticks"' Description = "Fuzzy.Toad.Sticks."' Sku = "RIBBIT"' ItemParticipants = new List<Participant>()' ItemRaffles = new List<Raffle>() }; " is 185.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//Item itemB = new Item() { Name = "Stones"' Description = "Break Bones."' Sku = "Ouch"' ItemParticipants = new List<Participant>()' ItemRaffles = new List<Raffle>() }; " is 168.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//Item itemC = new Item() { Name = "Super Tired"' Description = "Sleep is for the weak."' Sku = "zzz"' ItemParticipants = new List<Participant>()' ItemRaffles = new List<Raffle>() }; " is 182.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//Item itemD = new Item() { Name = "Awake"' Description = "I.Am.A.Wake."' Sku = "aaa"' ItemParticipants = new List<Participant>()' ItemRaffles = new List<Raffle>() }; " is 166.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//RaffleResult rA = new RaffleResult { Name = "Raffle 1 Result 1"' RaffleId = 1' Winners = new List<Winner>() { wA' wAa' wB } }; " is 128.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//RaffleResult rB = new RaffleResult { Name = "Raffle 1 Result 2"' RaffleId = 1' Winners = new List<Winner>() { wC' wD } }; " is 123.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//RaffleResult rC = new RaffleResult { Name = "Raffle 2 Result 1"' RaffleId = 2' Winners = new List<Winner>() { wE' wF' wG' wH } }; " is 131.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//RaffleResult rD = new RaffleResult { Name = "Raffle 2 Result 2"' RaffleId = 2' Winners = new List<Winner>() { wE' wF' wG' wH } }; " is 131.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//RaffleResult rE = new RaffleResult { Name = "Raffle 3 Result 1"' RaffleId = 3' Winners = new List<Winner>() { wE' wF' wG' wH } }; " is 131.
Long Statement,Raffles.Data.Migrations,Configuration,C:\repos\rickspears_Raffles\Raffles.Data.Services\Migrations\Configuration.cs,Seed,The length of the statement  "	//RaffleResult rF = new RaffleResult { Name = "Raffle 3 Result 2"' RaffleId = 3' Winners = new List<Winner>() { wE' wF' wG' wH } }; " is 131.
