Implementation smell,Namespace,Class,File,Method,Description
Magic Number,NHibernate.Example.Web.Pages,SchemaModel,C:\research\architectureSmells\repos\nhibernate_nhibernate-core\src\NHibernate.Example.Web\Pages\Schema.cshtml.cs,OnPostCreateSchema,The following statement contains a magic number: var item1 = new Item  				{  					Description = "First item"'  					Price = 100m  				};
Magic Number,NHibernate.Example.Web.Pages,SchemaModel,C:\research\architectureSmells\repos\nhibernate_nhibernate-core\src\NHibernate.Example.Web\Pages\Schema.cshtml.cs,OnPostCreateSchema,The following statement contains a magic number: var item2 = new Item  				{  					Description = "Second item"'  					Price = 150m  				};
