Implementation smell,Namespace,Class,File,Method,Description
Complex Method,MassTransit.ProtocolBuffers,ProtocolBuffersMessageEnvelope,C:\repos\phatboyg_MassTransit\src\Serialization\MassTransit.ProtocolBuffers\ProtocolBuffersMessageEnvelope.cs,ProtocolBuffersMessageEnvelope,Cyclomatic complexity of the method is 12
Long Parameter List,MassTransit.ProtocolBuffers,ProtocolBuffersConsumeContext,C:\repos\phatboyg_MassTransit\src\Serialization\MassTransit.ProtocolBuffers\ProtocolBuffersConsumeContext.cs,ProtocolBuffersConsumeContext,The method has 5 parameters. Parameters: sendEndpointProvider' publishEndpointProvider' receiveContext' envelope' offset
Long Statement,MassTransit,ProtocolBufferSerializationExtensions,C:\repos\phatboyg_MassTransit\src\Serialization\MassTransit.ProtocolBuffers\ProtocolBufferSerializationExtensions.cs,UseProtocolBuffersSerializer,The length of the statement  "            configurator.AddBusFactorySpecification(new SetMessageSerializerBusFactorySpecification<ProtocolBuffersMessageSerializer>()); " is 125.
Long Statement,MassTransit.ProtocolBuffers,ProtocolBuffersConsumeContext,C:\repos\phatboyg_MassTransit\src\Serialization\MassTransit.ProtocolBuffers\ProtocolBuffersConsumeContext.cs,TryGetMessage,The length of the statement  "                        _messageTypes[typeof(T)] = message = new MessageConsumeContext<T>(this' ProtoBuf.Serializer.DeserializeWithLengthPrefix<T>(stream' PrefixStyle.Fixed32)); " is 153.
Long Statement,MassTransit.ProtocolBuffers,ProtocolBuffersMessageDeserializer,C:\repos\phatboyg_MassTransit\src\Serialization\MassTransit.ProtocolBuffers\ProtocolBuffersMessageDeserializer.cs,Deserialize,The length of the statement  "                return new ProtocolBuffersConsumeContext(_sendEndpointProvider' _publishEndpointProvider' receiveContext' envelope' offset); " is 124.
