Implementation smell,Namespace,Class,File,Method,Description
Complex Method,ASPMVCSampleApplication40.Models,AccountValidation,C:\repos\Hill30_NDjango\ASPMVCSampleApplication35\Models\AccountModels.cs,ErrorCodeToString,Cyclomatic complexity of the method is 10
Long Statement,ASPMVCSampleApplication40,MvcApplication,C:\repos\Hill30_NDjango\ASPMVCSampleApplication35\Global.asax.cs,Application_Start,The length of the statement  "	ViewEngines.Engines.Insert (0' new NDjango.ASPMVC.DjangoViewEngine (pr => pr.WithLibrary ("ASPMVCSampleLibrary.NDjangoExtension35"))); " is 134.
Long Statement,ASPMVCSampleApplication40.Models,AccountValidation,C:\repos\Hill30_NDjango\ASPMVCSampleApplication35\Models\AccountModels.cs,ErrorCodeToString,The length of the statement  "		return "The authentication provider returned an error. Please verify your entry and try again. If the problem persists' please contact your system administrator."; " is 163.
Long Statement,ASPMVCSampleApplication40.Models,AccountValidation,C:\repos\Hill30_NDjango\ASPMVCSampleApplication35\Models\AccountModels.cs,ErrorCodeToString,The length of the statement  "		return "The user creation request has been canceled. Please verify your entry and try again. If the problem persists' please contact your system administrator."; " is 161.
Long Statement,ASPMVCSampleApplication40.Models,AccountValidation,C:\repos\Hill30_NDjango\ASPMVCSampleApplication35\Models\AccountModels.cs,ErrorCodeToString,The length of the statement  "		return "An unknown error occurred. Please verify your entry and try again. If the problem persists' please contact your system administrator."; " is 143.
