Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Sustainsys.Saml2.TestHelpers,SignedXmlHelper,D:\research\architectureSmells\repos\KentorIT_authservices\Tests\TestHelpers\SignedXmlHelper.cs,EncryptAssertion,The length of the statement  "            var wrappedAssertion = $@"<saml2:EncryptedAssertion xmlns:saml2=""urn:oasis:names:tc:SAML:2.0:assertion"">{assertionXml}</saml2:EncryptedAssertion>"; " is 149.
Magic Number,Sustainsys.Saml2.TestHelpers,StubFactory,D:\research\architectureSmells\repos\KentorIT_authservices\Tests\TestHelpers\StubFactory.cs,CreateSPOptions,The following statement contains a magic number: var options = new SPOptions              {                  EntityId = new EntityId("https://github.com/Sustainsys/Saml2")'                  MetadataCacheDuration = new XsdDuration(seconds: 42)'                  MetadataValidDuration = TimeSpan.FromDays(24)'                  WantAssertionsSigned = true'                  Organization = org'                  DiscoveryServiceUrl = new Uri("https://ds.example.com")'                  ReturnUrl = new Uri("https://localhost/returnUrl")              };
Magic Number,Sustainsys.Saml2.TestHelpers,StubFactory,D:\research\architectureSmells\repos\KentorIT_authservices\Tests\TestHelpers\StubFactory.cs,CreateSPOptions,The following statement contains a magic number: var options = new SPOptions              {                  EntityId = new EntityId("https://github.com/Sustainsys/Saml2")'                  MetadataCacheDuration = new XsdDuration(seconds: 42)'                  MetadataValidDuration = TimeSpan.FromDays(24)'                  WantAssertionsSigned = true'                  Organization = org'                  DiscoveryServiceUrl = new Uri("https://ds.example.com")'                  ReturnUrl = new Uri("https://localhost/returnUrl")              };
