Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Sample,Program,D:\research\architectureSmells\repos\erizet_EventSource4Net\Sample\Program.cs,Main,The length of the statement  "            es.StateChanged += new EventHandler<StateChangedEventArgs>((o' e) => { Console.WriteLine("New state: " + e.State.ToString()); }); " is 129.
Long Statement,Sample,Program,D:\research\architectureSmells\repos\erizet_EventSource4Net\Sample\Program.cs,Main,The length of the statement  "            es.EventReceived += new EventHandler<ServerSentEventReceivedEventArgs>((o' e) => { Console.WriteLine("--------- Msg received -----------\n" + e.Message.ToString()); }); " is 168.
Magic Number,Sample,Program,D:\research\architectureSmells\repos\erizet_EventSource4Net\Sample\Program.cs,Main,The following statement contains a magic number: EventSource es = new EventSource(new Uri(@"http://ssetest.apphb.com/api/sse")' 50000);
