Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Caliburn.Micro.HelloWindowManager,App,C:\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.HelloWindowManager\Caliburn.Micro.HelloWindowManager\App.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Caliburn.Micro.HelloWindowManager;component/app.xaml"' System.UriKind.Relative); " is 126.
Long Statement,Caliburn.Micro.HelloWindowManager,ShellView,C:\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.HelloWindowManager\Caliburn.Micro.HelloWindowManager\obj\x86\Debug\ShellView.g.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Caliburn.Micro.HelloWindowManager;component/shellview.xaml"' System.UriKind.Relative); " is 132.
Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,C:\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.HelloWindowManager\Caliburn.Micro.HelloWindowManager\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,CreateInstance,The length of the statement  "            return System.Activator.CreateInstance(type' ((System.Reflection.BindingFlags.Public | System.Reflection.BindingFlags.NonPublic)  " is 128.
Magic Number,Caliburn.Micro.HelloWindowManager,DialogViewModel,C:\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.HelloWindowManager\Caliburn.Micro.HelloWindowManager\DialogViewModel.cs,DialogViewModel,The following statement contains a magic number: Buttons = new BindableCollection<int>(Enumerable.Range(1' 3));
Magic Number,Caliburn.Micro.HelloWindowManager,ShellView,C:\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.HelloWindowManager\Caliburn.Micro.HelloWindowManager\obj\x86\Debug\ShellView.g.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.OpenModeless = ((System.Windows.Controls.Button)(target));              return;              case 2:              this.OpenModal = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.OpenPopup = ((System.Windows.Controls.Button)(target));              return;              }
Magic Number,Caliburn.Micro.HelloWindowManager,ShellView,C:\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.HelloWindowManager\Caliburn.Micro.HelloWindowManager\obj\x86\Debug\ShellView.g.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.OpenModeless = ((System.Windows.Controls.Button)(target));              return;              case 2:              this.OpenModal = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.OpenPopup = ((System.Windows.Controls.Button)(target));              return;              }
Missing Default,Caliburn.Micro.HelloWindowManager,ShellView,C:\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.HelloWindowManager\Caliburn.Micro.HelloWindowManager\obj\x86\Debug\ShellView.g.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.OpenModeless = ((System.Windows.Controls.Button)(target));              return;              case 2:              this.OpenModal = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.OpenPopup = ((System.Windows.Controls.Button)(target));              return;              }
