Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Caliburn.Micro.SimpleMDI,TabView,D:\research\architectureSmells\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.SimpleMDI\Caliburn.Micro.SimpleMDI\obj\x86\Debug\TabView.g.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Caliburn.Micro.SimpleMDI;component/tabview.xaml"' System.UriKind.Relative); " is 121.
Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,D:\research\architectureSmells\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.SimpleMDI\Caliburn.Micro.SimpleMDI\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,CreateInstance,The length of the statement  "            return System.Activator.CreateInstance(type' ((System.Reflection.BindingFlags.Public | System.Reflection.BindingFlags.NonPublic)  " is 128.
Missing Default,Caliburn.Micro.SimpleMDI,TabView,D:\research\architectureSmells\repos\Code52_dodo\lib\caliburn.micro\samples\Caliburn.Micro.SimpleMDI\Caliburn.Micro.SimpleMDI\obj\x86\Debug\TabView.g.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.DisplayName = ((System.Windows.Controls.TextBlock)(target));              return;              }
