Implementation smell,Namespace,Class,File,Method,Description
Magic Number,HttpClientDemo,EarthquakesPage,C:\repos\conceptdev_xamarin-forms-samples\HttpClient\HttpClientDemo\Earthquake\EarthquakesPage.cs,EarthquakesPage,The following statement contains a magic number: if (Device.OS == TargetPlatform.iOS)  			{	// only put maps on iOS' so much hassle with keys on other platforms  				m = new Map();  				m.HeightRequest = 200;    				Content = new StackLayout  				{  					Padding = new Thickness(0' 20' 0' 0)'  					Children = {  						l'  						b'  						m'  						lv  					}  				};  			}  			else  			{   				Content = new StackLayout  				{  					Padding = new Thickness(0' 20' 0' 0)'  					Children = {  						l'  						b'  						lv  					}  				};  			}
Magic Number,HttpClientDemo,EarthquakesPage,C:\repos\conceptdev_xamarin-forms-samples\HttpClient\HttpClientDemo\Earthquake\EarthquakesPage.cs,EarthquakesPage,The following statement contains a magic number: if (Device.OS == TargetPlatform.iOS)  			{	// only put maps on iOS' so much hassle with keys on other platforms  				m = new Map();  				m.HeightRequest = 200;    				Content = new StackLayout  				{  					Padding = new Thickness(0' 20' 0' 0)'  					Children = {  						l'  						b'  						m'  						lv  					}  				};  			}  			else  			{   				Content = new StackLayout  				{  					Padding = new Thickness(0' 20' 0' 0)'  					Children = {  						l'  						b'  						lv  					}  				};  			}
Magic Number,HttpClientDemo,EarthquakesPage,C:\repos\conceptdev_xamarin-forms-samples\HttpClient\HttpClientDemo\Earthquake\EarthquakesPage.cs,EarthquakesPage,The following statement contains a magic number: if (Device.OS == TargetPlatform.iOS)  			{	// only put maps on iOS' so much hassle with keys on other platforms  				m = new Map();  				m.HeightRequest = 200;    				Content = new StackLayout  				{  					Padding = new Thickness(0' 20' 0' 0)'  					Children = {  						l'  						b'  						m'  						lv  					}  				};  			}  			else  			{   				Content = new StackLayout  				{  					Padding = new Thickness(0' 20' 0' 0)'  					Children = {  						l'  						b'  						lv  					}  				};  			}
