Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ImageResizer.Core.Tests.SiteMocks,SiteCreator,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.HttpTests\SiteMocks\SiteCreator.cs,Create,The length of the statement  "            Copy(dllFolder' binDir' new string[] { "*.dll"' "*.pdb" }' new string[]{"mbunit"'"gallio"'".Tests"'"NHamcrest"' "Cassini"});" is 124.
Long Statement,ImageResizer.Core.Tests.SiteMocks,SiteCreator,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.HttpTests\SiteMocks\SiteCreator.cs,Create,The length of the statement  "            Copy(imagesFolder' dir' new string[] { "*.jpg"' "*.png"' "*.jpeg"' "*.tiff"' "*.tif"' "*.tff"' "*.psd"' "*.gif"' "*.bmp" });" is 124.
Magic Number,ImageResizer.Core.Tests.SiteMocks,SiteCreator,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.HttpTests\SiteMocks\SiteCreator.cs,Copy,The following statement contains a magic number: Debug.WriteLine("Copy " + file.PadRight(150) + " to " + destFile);
