Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ImageResizer.ProviderTests,AzureReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\AzureReaderTest.cs,InstallWithoutBlobStorageEndpointTrailingSlashConnectionTest,The length of the statement  "            settings["blobstorageendpoint"] = settings["blobstorageendpoint"].Substring(0' settings["blobstorageendpoint"].Length - 1);" is 123.
Long Statement,ImageResizer.ProviderTests,AzureReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\AzureReaderTest.cs,FileExistsNotFastModeFileExistingStorageException,The length of the statement  "            var rs = new ResizerSection("<resizer><plugins><add name=\"AzureReader2\" prefix=\"/azure/\" connectionString=\"DefaultEndpointsProtocol=http;AccountName=devstoreaccount1;AccountKey=Eby8vdM02xNOcqFlqUwJPLlmEtlCDXJ1OUzFT50uSRZ6IFsuFq2UVErCz4I6tq/K1SZFPTOtr/KBHBeksoGMGw==\" endpoint=\"http://127.0.0.1:10000/devstoreaccount1/\" /></plugins></resizer>");" is 352.
Long Statement,ImageResizer.ProviderTests,AzureReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\AzureReaderTest.cs,GetFileInvalidNotFastModeStorageException,The length of the statement  "            var rs = new ResizerSection("<resizer><plugins><add name=\"AzureReader2\" prefix=\"/azure/\" connectionString=\"DefaultEndpointsProtocol=http;AccountName=devstoreaccount1;AccountKey=Eby8vdM02xNOcqFlqUwJPLlmEtlCDXJ1OUzFT50uSRZ6IFsuFq2UVErCz4I6tq/K1SZFPTOtr/KBHBeksoGMGw==\" endpoint=\"http://127.0.0.1:10000/devstoreaccount1/\" /></plugins></resizer>");" is 352.
Long Statement,ImageResizer.ProviderTests,AzureReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\AzureReaderTest.cs,GetFileValidNotFastModeStorageException,The length of the statement  "            var rs = new ResizerSection("<resizer><plugins><add name=\"AzureReader2\" prefix=\"/azure/\" connectionString=\"DefaultEndpointsProtocol=http;AccountName=devstoreaccount1;AccountKey=Eby8vdM02xNOcqFlqUwJPLlmEtlCDXJ1OUzFT50uSRZ6IFsuFq2UVErCz4I6tq/K1SZFPTOtr/KBHBeksoGMGw==\" endpoint=\"http://127.0.0.1:10000/devstoreaccount1/\" /></plugins></resizer>");" is 352.
Long Statement,ImageResizer.ProviderTests,CloudStorageEmulatorShepherd,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\CloudStorageEmulatorShepherd.cs,Start,The length of the statement  "                var filenames = new string[] { "AzureStorageEmulator.exe"' "WAStorageEmulator.exe" }.Select(name => Path.Combine(path' name));" is 126.
Long Statement,ImageResizer.ProviderTests,MongoReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\MongoReaderTest.cs,OpenInvalidIdWithIdPrefix,The length of the statement  "            string virtualPath = Path.Combine(settings["prefix"]' "id/" + dummyDatabaseRecordId.ToString("N").Substring(0' 24) + ".jpg");" is 125.
Long Statement,ImageResizer.ProviderTests,RemoteReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\RemoteReaderTest.cs,GetFileNotSignedWhitelisted,The length of the statement  "            var rs = new ResizerSection("<resizer><remotereader signingKey=\"ag383ht23sag#laf#lafF#oyfafqewt;2twfqw\" allowAllSignedRequests=\"false\"><allow domain=\"farm7.static.flickr.com\" /></remotereader></resizer>");" is 211.
Long Statement,ImageResizer.ProviderTests,RemoteReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\RemoteReaderTest.cs,GetFileSigned,The length of the statement  "            var rs = new ResizerSection("<resizer><remotereader signingKey=\"ag383ht23sag#laf#lafF#oyfafqewt;2twfqw\" allowAllSignedRequests=\"true\" /></resizer>");" is 153.
Long Statement,ImageResizer.ProviderTests,RemoteReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\RemoteReaderTest.cs,Open,The length of the statement  "            var rs = new ResizerSection("<resizer><remotereader signingKey=\"ag383ht23sag#laf#lafF#oyfafqewt;2twfqw\" allowAllSignedRequests=\"true\" /></resizer>");" is 153.
Long Statement,ImageResizer.ProviderTests,RemoteReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\RemoteReaderTest.cs,OpenInvalidId,The length of the statement  "            var rs = new ResizerSection("<resizer><remotereader signingKey=\"ag383ht23sag#laf#lafF#oyfafqewt;2twfqw\" allowAllSignedRequests=\"true\" /></resizer>");" is 153.
Long Statement,ImageResizer.ProviderTests,RemoteReaderAsyncTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\RemoteReaderTest.cs,OpenAsync,The length of the statement  "            var rs = new ResizerSection("<resizer><remotereader signingKey=\"ag383ht23sag#laf#lafF#oyfafqewt;2twfqw\" allowAllSignedRequests=\"true\" /></resizer>");" is 153.
Long Statement,ImageResizer.ProviderTests,SqlReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\SqlReaderTest.cs,FileExistsWithInvalidGuidId,The length of the statement  "            string virtualPath = Path.Combine(settings.VirtualFilesystemPrefix' dummyDatabaseRecordId.ToString("B").Substring(0' 5));" is 121.
Long Statement,ImageResizer.ProviderTests,SqlReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\SqlReaderTest.cs,CreateSqlReaderPlugin,The length of the statement  "            ////ConnectionString = @"Data Source=.;Integrated Security=true;Initial Catalog=Resizer;AttachDbFilename=|DataDirectory|database.mdf;"'" is 135.
Long Statement,ImageResizer.ProviderTests,SqlReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\SqlReaderTest.cs,CreateDatabase,The length of the statement  "                        "CREATE TABLE [dbo].[Images]([ImageID] [uniqueidentifier] NOT NULL'[FileName] [nvarchar](256) NULL'[Extension] [varchar](50) NULL'[ContentLength] [int] NOT NULL'[Content] [varbinary](max) NULL'[ModifiedDate] [datetime] NULL'[CreatedDate] [datetime] NULL'CONSTRAINT [PK_Images2] PRIMARY KEY CLUSTERED ([ImageID] ASC) WITH (PAD_INDEX  = OFF' STATISTICS_NORECOMPUTE  = OFF' IGNORE_DUP_KEY = OFF' ALLOW_ROW_LOCKS  = ON' ALLOW_PAGE_LOCKS  = ON) ON [PRIMARY]) ON [PRIMARY];" +" is 470.
Magic Number,ImageResizer.ProviderTests,AzureReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\AzureReaderTest.cs,OpenInvalidContainer,The following statement contains a magic number: string virtualPath = Path.Combine(PathPrefix.Substring(0' PathPrefix.Length - 2) + "/"' "fountain-xxxx.jpg");
Magic Number,ImageResizer.ProviderTests,MongoReaderTest,D:\research\architectureSmells\repos\imazen_resizer\Tests\ImageResizer.ProviderTests\MongoReaderTest.cs,OpenInvalidIdWithoutIdPrefix,The following statement contains a magic number: string virtualPath = Path.Combine(settings["prefix"]' dummyDatabaseRecordId.ToString("N").Substring(0' 24) + ".jpg");
