Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Sample.Android,Resource,D:\research\architectureSmells\repos\FireflyLogic_couchbase-connect-14\src\Components\zxing.net.mobile-1.4.6\samples\Sample.Android\Sample.Android\Resources\Resource.designer.cs,UpdateIdValues,The length of the statement  "			global::ZXing.Mobile.Resource.Layout.zxingscanneractivitylayout = global::Sample.Android.Resource.Layout.zxingscanneractivitylayout; " is 132.
Long Statement,Sample.Android,Resource,D:\research\architectureSmells\repos\FireflyLogic_couchbase-connect-14\src\Components\zxing.net.mobile-1.4.6\samples\Sample.Android\Sample.Android\Resources\Resource.designer.cs,UpdateIdValues,The length of the statement  "			global::ZXing.Mobile.Resource.Layout.zxingscannerfragmentlayout = global::Sample.Android.Resource.Layout.zxingscannerfragmentlayout; " is 132.
