Implementation smell,Namespace,Class,File,Method,Description
Long Statement,GiveCRM.BusinessLogic,CampaignService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\CampaignService.cs,Commit,The length of the statement  "                throw new DomainException("There are no members matching the search criteria for this campaign. Check you have member filters set up' and that there are members who match those criteria."); " is 189.
Long Statement,GiveCRM.BusinessLogic,MemberService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\MemberService.cs,NameSearch,The length of the statement  "            return GetForenameSurname(member).Contains(criteria) || GetSurnameForename(member).Contains(criteria) || GetInitialSurname(member).Contains(criteria); " is 150.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "            yield return new LocationSearchCriteria { InternalName = LocationSearchCriteria.City' DisplayName = "City"' Type = SearchFieldType.String }; " is 140.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "            yield return new LocationSearchCriteria { InternalName = LocationSearchCriteria.Region' DisplayName = "Region"' Type = SearchFieldType.String }; " is 144.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "            yield return new LocationSearchCriteria { InternalName = LocationSearchCriteria.PostalCode' DisplayName = "Postal code"' Type = SearchFieldType.String }; " is 153.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "            yield return new DonationSearchCriteria { InternalName = DonationSearchCriteria.IndividualDonation' DisplayName = "Individual donation"' Type = SearchFieldType.Double }; " is 169.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "            yield return new DonationSearchCriteria { InternalName = DonationSearchCriteria.TotalDonations' DisplayName = "Total donations"' Type = SearchFieldType.Double }; " is 161.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "            yield return new DonationSearchCriteria { InternalName = DonationSearchCriteria.LastDonationDate' DisplayName = "Last donation date"' Type = SearchFieldType.Date }; " is 164.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "            yield return new CampaignSearchCriteria { InternalName = CampaignSearchCriteria.DonatedToCampaign' DisplayName = "Donated to campaign"' Type = SearchFieldType.String }; " is 168.
Long Statement,GiveCRM.BusinessLogic,SearchService,D:\research\architectureSmells\repos\GiveCampUK_GiveCRM\src\GiveCRM.BusinessLogic\SearchService.cs,GetEmptySearchCriteria,The length of the statement  "                yield return new FacetSearchCriteria { InternalName = "freeTextFacet_" + f.Id' DisplayName = f.Name' Type = SearchFieldType.String' FacetId = f.Id }; " is 149.
