Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Wox.Plugin.Color,ColorsPlugin,C:\research\architectureSmells\repos\qianlifeng_Wox\Plugins\Wox.Plugin.Color\Main.cs,IsAvailable,The following statement contains a magic number: return query.StartsWith("#") && (length == 3 || length == 6);
Magic Number,Wox.Plugin.Color,ColorsPlugin,C:\research\architectureSmells\repos\qianlifeng_Wox\Plugins\Wox.Plugin.Color\Main.cs,IsAvailable,The following statement contains a magic number: return query.StartsWith("#") && (length == 3 || length == 6);
