Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Git.Unite,Program,D:\research\architectureSmells\repos1\tawman_git-unite\src\Git.Unite\Program.cs,Main,The length of the statement  "                    {"d|directory-only"' "only perform directory case changes"' v => options = v != null ? options ^ OptionFlags.UniteFiles : options}' " is 131.
Long Statement,Git.Unite,Program,D:\research\architectureSmells\repos1\tawman_git-unite\src\Git.Unite\Program.cs,Main,The length of the statement  "                    {"f|file-only"' "only perform filename case changes"' v => options = v != null ? options ^ OptionFlags.UniteDirectories : options}' " is 131.
