Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ServiceStack.SpringFactory.Support,ObjectConfigurationTypeFactory,C:\repos\ServiceStack_ServiceStack.Extras\src\ServiceStack.SpringFactory\Support\ObjectConfigurationTypeFactory.cs,Create,The length of the statement  "					string.Format("There are '{0}' possible matches available for type '{1}'. You must reference ambiguous matches by name."' " is 121.
Long Statement,ServiceStack.SpringFactory.Support,ObjectConfigurationTypeFactory,C:\repos\ServiceStack_ServiceStack.Extras\src\ServiceStack.SpringFactory\Support\ObjectConfigurationTypeFactory.cs,Create,The length of the statement  "					string.Format("There are '{0}' possible matches available for type '{1}'. You must reference ambiguous matches by name."' " is 121.
