Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MetroRadiance.Platform,ExternalWindow,C:\repos\Grabacr07_MetroRadiance\source\MetroRadiance.Chrome.Externals\Platform\ExternalWindow.cs,GetExtendFrameBounds,The length of the statement  "			Dwmapi.DwmGetWindowAttribute(this.Handle' DWMWINDOWATTRIBUTE.DWMWA_EXTENDED_FRAME_BOUNDS' out frameBounds' Marshal.SizeOf(typeof(RECT))); " is 137.
Magic Number,MetroRadiance.Platform,ExternalWindow,C:\repos\Grabacr07_MetroRadiance\source\MetroRadiance.Chrome.Externals\Platform\ExternalWindow.cs,ExternalOnStateChanged,The following statement contains a magic number: switch (state)  			{  				case 0:  					this.WindowState = WindowState.Normal;  					break;  				case 1:  					this.WindowState = WindowState.Minimized;  					break;  				case 2:  					this.WindowState = WindowState.Maximized;  					break;  			}
Missing Default,MetroRadiance.Platform,ExternalWindow,C:\repos\Grabacr07_MetroRadiance\source\MetroRadiance.Chrome.Externals\Platform\ExternalWindow.cs,ExternalOnStateChanged,The following switch statement is missing a default case: switch (state)  			{  				case 0:  					this.WindowState = WindowState.Normal;  					break;  				case 1:  					this.WindowState = WindowState.Minimized;  					break;  				case 2:  					this.WindowState = WindowState.Maximized;  					break;  			}
