Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
LoginResponse,0,0,1,0,0,7,0,0,1,0,0,0
LoginResult,0,0,2,0,0,11,0,0,0,0,0,0
Location,0,2,2,0,2,19,2,0,0,0,0,0
BaseResult,0,0,2,0,0,11,0,1,0,0,0,0
ReturnBaseModel,0,0,1,0,0,7,0,1,1,0,0,0
AuditLog,0,0,7,0,0,31,0,0,0,0,0,1
BrowseInfo,0,0,7,0,0,31,0,0,0,0,0,1
City,0,1,6,0,1,31,1,0,0,0,1,2
District,0,0,7,0,0,31,0,0,0,0,0,4
Log4net,0,0,8,0,0,35,0,0,0,0,0,0
LoginInfo,0,1,7,0,1,35,1,0,0,0,1,0
Entities,0,2,13,0,1,62,2,0,0,0,0,2
User,2,1,3,0,1,48,3,0,0,1,2,3
Role,2,0,2,0,0,31,0,0,0,0,1,3
Property,3,0,3,0,0,41,0,0,0,0,0,2
Permission,0,0,5,0,0,23,0,0,0,0,0,2
Resource,0,1,10,0,1,48,1,0,0,0,1,1
sysdiagram,0,0,5,0,0,23,0,0,0,0,0,0
User_Role,0,0,5,0,0,23,0,0,0,0,0,1
Message,0,0,3,0,0,15,0,0,0,0,0,0
Result,0,0,4,0,0,19,0,0,0,0,0,0
Location,0,0,2,0,0,11,0,0,0,0,0,0
ResultType,0,0,0,0,0,15,0,0,0,0,0,0
