Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Log4Mongo,UnitResolver,D:\research\architectureSmells\repos\log4mongo_log4mongo-net\src\Log4Mongo\UnitResolver.cs,Resolve,The following statement contains a magic number: var multiplier = GetMultiplier(match.Groups[2].Value);
Magic Number,Log4Mongo,UnitResolver,D:\research\architectureSmells\repos\log4mongo_log4mongo-net\src\Log4Mongo\UnitResolver.cs,GetMultiplier,The following statement contains a magic number: switch (unit)  			{  				case "k":  					return 1000;  				case "MB":  					return 1024 * 1024;  				default:  					return 0;  			}
Magic Number,Log4Mongo,UnitResolver,D:\research\architectureSmells\repos\log4mongo_log4mongo-net\src\Log4Mongo\UnitResolver.cs,GetMultiplier,The following statement contains a magic number: switch (unit)  			{  				case "k":  					return 1000;  				case "MB":  					return 1024 * 1024;  				default:  					return 0;  			}
Magic Number,Log4Mongo,UnitResolver,D:\research\architectureSmells\repos\log4mongo_log4mongo-net\src\Log4Mongo\UnitResolver.cs,GetMultiplier,The following statement contains a magic number: switch (unit)  			{  				case "k":  					return 1000;  				case "MB":  					return 1024 * 1024;  				default:  					return 0;  			}
