Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,ReallySimpleEventing.ActivationStrategies,EventHandlerResolver,D:\research\architectureSmells\repos\davidwhitney_ReallySimpleEventing\ReallySimpleEventing\ActivationStrategies\EventHandlerResolver.cs,GetAllSubscriptionHandlers,The length of the parameter messagesWithDistributedSubscriptions is 36.
Long Statement,ReallySimpleEventing.ActivationStrategies,EventHandlerResolver,D:\research\architectureSmells\repos\davidwhitney_ReallySimpleEventing\ReallySimpleEventing\ActivationStrategies\EventHandlerResolver.cs,GetAllSubscriptionHandlers,The length of the statement  "            var messagesWithDistributedSubscriptions = _allHandlers.Value.Where(handler => handler.GetInterfaces().Where(IsASubscriber).Any()).ToList(); " is 140.
Long Statement,ReallySimpleEventing.ActivationStrategies.Composed,UnionOfAllActivatorsActivation,D:\research\architectureSmells\repos\davidwhitney_ReallySimpleEventing\ReallySimpleEventing\ActivationStrategies\Composed\UnionOfAllActivatorsActivation.cs,GetHandlers,The length of the statement  "                        result[handler.GetType()] = handler;//cant use a set as different instances of the same type may have different hash codes " is 122.
Long Statement,ReallySimpleEventing.ThreadingStrategies,NullMessageBusPublishingStrategy,D:\research\architectureSmells\repos\davidwhitney_ReallySimpleEventing\ReallySimpleEventing\ThreadingStrategies\NullMessageBusPublishingStrategy.cs,Run,The length of the statement  "            throw new NotImplementedException("You published a message with an ISubscribeTo handler present - this type is designed to handle messages over message buses but you haven't configured one."); " is 192.
