Method,LOC,CC,PC
SetValue:TCount,5,2,1
SetValue:TEquals,6,2,2
SetValue:ToMatrix,3,1,0
SetValue:TToMatrix,10,3,1
ValueWrap:ValueWrap,3,1,1
ValueWrap:SerializeID,3,1,2
ValueWrap:SerializeValue,7,1,2
ValueWrap:Serialize,3,1,1
ValueWrap:DeserializeID,3,1,1
ValueWrap:DeserializeValue,10,1,1
ValueWrap:Deserialize,3,1,1
ValueWrap:ToString,3,1,0
ValueWrap:ToString,6,1,1
ValueWrap:GetHashCode,4,1,0
ValueWrap:Equals,3,1,1
ValueWrap:Equals,4,1,1
ValueWrap:CompareTo,18,8,1
AddFunction:Function,14,3,1
AsSortFunction:Function,7,2,0
AsUnsortFunction:Function,7,2,0
ContainsFunction:Function,7,2,1
CountFunction:Function,6,2,0
EqualsFunction:Function,7,2,1
ExceptFunction:Function,6,2,1
ExceptXorFunction:Function,6,2,1
IntersectFunction:Function,6,2,1
IsProperSubsetOfFunction:Function,7,2,1
IsProperSupersetOfFunction:Function,7,2,1
IsSortedFunction:Function,7,2,0
IsSubsetOfFunction:Function,7,2,1
IsSupersetOfFunction:Function,7,2,1
OverlapsFunction:Function,7,2,1
RemoveFunction:Function,14,3,1
ToMatrixFunction:Function,6,2,0
UnionFunction:Function,6,2,1
