Implementation smell,Namespace,Class,File,Method,Description
Missing Default,PubSub,Hub,D:\research\architectureSmells\repos\upta_pubsub\PubSub\Core\Hub.cs,Publish,The following switch statement is missing a default case: switch (handler.Action)                  {                      case Action<T> action:                          action(data);                          break;                      case Func<T' Task> func:                          func(data);                          break;                  }
Missing Default,PubSub,Hub,D:\research\architectureSmells\repos\upta_pubsub\PubSub\Core\Hub.cs,PublishAsync,The following switch statement is missing a default case: switch (handler.Action)                  {                      case Action<T> action:                          action(data);                          break;                      case Func<T' Task> func:                          await func(data);                          break;                  }
