Method,LOC,CC,PC
PropertyDeclarationGenerator:PropertyDeclarationGenerator,4,1,3
PropertyDeclarationGenerator:Generate,8,2,2
PropertyDeclarationGenerator:SetAttributes,0,1,1
PropertyDeclarationGenerator:SetType,10,2,2
EntityNameGenerator:EntityNameGenerator,2,1,1
EntityNameGenerator:SetName,3,1,2
ClassGenerator:ClassGenerator,2,1,2
ClassGenerator:Generate,11,1,2
ClassGenerator:SetPartial,3,1,1
ClassGenerator:SetBaseClass,6,1,2
ClassGenerator:AddInterfaces,6,3,2
CodeGeneratorFactory:Create,0,1,2
CtorGenerator:CtorGenerator,2,1,1
CtorGenerator:Generate,17,1,2
NamespaceGenerator:NamespaceGenerator,3,1,2
NamespaceGenerator:Generate,12,3,2
NamespaceGenerator:AddToCompileUnit,8,2,1
CodeGeneratorBase:CodeGeneratorBase,3,1,1
CodeGeneratorBase:Generate,0,1,2
CodeGeneratorBase:AddAttribute,4,1,3
CodeGeneratorBase:AddAttribute,5,1,2
CodeGeneratorBase:AddAttribute,3,1,2
CodeGeneratorBase:CreatePrimitiveAttribute,4,1,2
CodeGeneratorBase:CreateAttribute,6,1,2
CodeGeneratorBase:AddFieldIfNotEmpty,5,2,3
CodeGeneratorBase:AddFieldIfTrue,4,2,3
CodeGeneratorBase:AddField,7,1,3
CodeGeneratorBase:AddAttributeArgumentIfValue,4,2,3
CodeGeneratorBase:AddAttributePrimitiveArgument,4,1,3
CodeGeneratorBase:AddAttributeArgument,8,1,3
DefaultCodeGeneratorFactory:Create,3,1,2
PropertiesGenerator:PropertiesGenerator,3,1,2
PropertiesGenerator:Generate,11,3,2
PropertyBodyGenerator:PropertyBodyGenerator,2,1,1
PropertyBodyGenerator:Generate,8,1,2
CommonInfoGenerator:CommonInfoGenerator,3,1,1
CommonInfoGenerator:Generate,11,3,2
ImportsGenerator:ImportsGenerator,2,1,1
ImportsGenerator:Generate,4,1,2
ImportsGenerator:AddImports,6,1,1
PropertyInfoGenerator:PropertyInfoGenerator,3,1,2
PropertyInfoGenerator:Generate,10,2,2
PropertyInfoGenerator:AddDataType,11,2,2
StructureGenerator:StructureGenerator,2,1,1
StructureGenerator:Generate,18,2,2
DocumentTypeInfoGenerator:DocumentTypeInfoGenerator,2,1,1
DocumentTypeInfoGenerator:Generate,14,2,2
EntityDescriptionGenerator:EntityDescriptionGenerator,2,1,1
EntityDescriptionGenerator:Generate,6,1,2
EntityDescriptionGenerator:AddDisplayNameIfDifferent,7,2,2
ImportsGenerator:ImportsGenerator,2,1,1
ImportsGenerator:Generate,4,1,2
ImportsGenerator:AddImports,4,1,1
PropertyBodyGenerator:PropertyBodyGenerator,2,1,1
PropertyBodyGenerator:Generate,7,1,2
CtorGenerator:CtorGenerator,2,1,1
CtorGenerator:Generate,17,1,2
ImportsGenerator:ImportsGenerator,2,1,1
ImportsGenerator:Generate,4,1,2
ImportsGenerator:AddImports,5,1,1
InterfaceGenerator:InterfaceGenerator,2,1,2
InterfaceGenerator:Generate,9,1,2
InterfaceNameGenerator:InterfaceNameGenerator,2,1,1
InterfaceNameGenerator:SetName,3,1,2
InterfacePropertyBodyGenerator:InterfacePropertyBodyGenerator,2,1,1
InterfacePropertyBodyGenerator:Generate,4,1,2
InterfacePropertyDeclarationGenerator:InterfacePropertyDeclarationGenerator,2,1,3
InterfacePropertyDeclarationGenerator:SetAttributes,3,1,1
ImportsGenerator:ImportsGenerator,2,1,1
ImportsGenerator:Generate,4,1,2
ImportsGenerator:AddImports,7,1,1
CommonInfoGenerator:CommonInfoGenerator,2,1,1
CommonInfoGenerator:Generate,8,1,2
DocumentTypeInfoGenerator:DocumentTypeInfoGenerator,2,1,1
DocumentTypeInfoGenerator:Generate,8,1,2
DocumentTypeInfoGenerator:AddAllowedTemplates,17,2,2
EntityDescriptionGenerator:EntityDescriptionGenerator,2,1,1
EntityDescriptionGenerator:Generate,7,1,2
EntityDescriptionGenerator:AddDisplayNameIfDifferent,7,2,2
