Implementation smell,Namespace,Class,File,Method,Description
Long Statement,fs4net.Framework,FileName,C:\repos\toroso_fs4net\framework\fs4net.Framework\FileName.cs,FromNameAndExtension,The length of the statement  "		throw new ArgumentException (string.Format ("The extension '{0}' does not start with a period."' extension)' "extension"); " is 122.
Long Statement,fs4net.Framework,FileName,C:\repos\toroso_fs4net\framework\fs4net.Framework\FileName.cs,FromNameAndExtension,The length of the statement  "		throw new ArgumentException (string.Format ("The name '{0}' ends with a period which is not allowed."' extension)' "extension"); " is 128.
Long Statement,fs4net.Framework,FileSystem,C:\repos\toroso_fs4net\framework\fs4net.Framework\FileSystem.cs,AllDrives,The length of the statement  "	return System.IO.DriveInfo.GetDrives ().Select (driveInfo => DriveDescribing (driveInfo.Name.RemoveTrailingPathSeparators ())); " is 127.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,Append,The length of the statement  "	return new RootedDirectory (left.InternalFileSystem ()' PathUtils.Combine (left.PathAsString' right.PathAsString)' left.Logger); " is 128.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,Append,The length of the statement  "	return new RootedFile (left.InternalFileSystem ()' PathUtils.Combine (left.PathAsString' right.PathAsString)' left.Logger); " is 123.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,RelativeFrom,The length of the statement  "	me.VerifyOnSameDriveAs (other' ThrowHelper.ArgumentException ("Can't find a relative path since '{0}' and '{1}' have different drives."' me.PathAsString' other.PathAsString)); " is 175.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,RelativeFrom,The length of the statement  "	var relative = PathUtils.MakeRelativeFrom (me.CanonicalPathAsString ().FullPath' other.CanonicalPathAsString ().FullPath); " is 122.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,LastWriteTime,The length of the statement  "	me.VerifyIsNotAFile (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't get last write time for directory '{0}' since it denotes a file."' me.PathAsString)); " is 170.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,LastWriteTime,The length of the statement  "	me.VerifyIsADirectory (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't get last write time for directory '{0}' since it does not exist."' me.PathAsString)); " is 172.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,SetLastWriteTime,The length of the statement  "	me.VerifyIsNotAFile (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't set last write time for directory '{0}' since it denotes a file."' me.PathAsString)); " is 170.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,SetLastWriteTime,The length of the statement  "	me.VerifyIsADirectory (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't set last write time for directory '{0}' since it does not exist."' me.PathAsString)); " is 172.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,LastAccessTime,The length of the statement  "	me.VerifyIsNotAFile (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't get last access time for directory '{0}' since it denotes a file."' me.PathAsString)); " is 171.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,LastAccessTime,The length of the statement  "	me.VerifyIsADirectory (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't get last access time for directory '{0}' since it does not exist."' me.PathAsString)); " is 173.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,SetLastAccessTime,The length of the statement  "	me.VerifyIsNotAFile (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't set last access time for directory '{0}' since it denotes a file."' me.PathAsString)); " is 171.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,SetLastAccessTime,The length of the statement  "	me.VerifyIsADirectory (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't set last access time for directory '{0}' since it does not exist."' me.PathAsString)); " is 173.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,CreationTime,The length of the statement  "	me.VerifyIsNotAFile (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't get creation time for directory '{0}' since it denotes a file."' me.PathAsString)); " is 168.
Long Statement,fs4net.Framework,RootedDirectoryInterfaceExtensions,C:\repos\toroso_fs4net\framework\fs4net.Framework\IRootedDirectory.cs,CreationTime,The length of the statement  "	me.VerifyIsADirectory (ThrowHelper.DirectoryNotFoundException (me.PathAsString' "Can't get creation time for directory '{0}' since it does not exist."' me.PathAsString)); " is 170.
