Implementation smell,Namespace,Class,File,Method,Description
Long Statement,fs4net.TestTemplates.Creation,CreateSpecialFolderDirectoryFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Creation\CreateSpecialFolderDirectoryFixture.cs,CreateMyComputer,The length of the statement  "            Should.Throw<NonRootedPathException>(() => FileSystem.DirectoryDescribingSpecialFolder(Environment.SpecialFolder.MyComputer)); " is 126.
Long Statement,fs4net.TestTemplates.Directory,DeleteIfEmptyFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\DeleteIfEmptyFixture.cs,Delete_NonExisting_Directory_Throws,The length of the statement  "            Should.Throw<DirectoryNotFoundException>(() => toBeDeleted.DeleteIfEmpty()); // Not sure if I like this' but that's how .NET works... " is 133.
Long Statement,fs4net.TestTemplates.Directory,CreationTimeFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\CreationTimeFixture.cs,CreationTime_On_Directory_For_Existing_File_Throws,The length of the statement  "            Should.Throw<DirectoryNotFoundException>(() => FileSystem.DirectoryDescribing(ExistingFile.PathAsString).CreationTime()); " is 121.
Long Statement,fs4net.TestTemplates.Directory,CreationTimeFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\CreationTimeFixture.cs,Set_CreationTime_Below_Min_Value_Throws,The length of the statement  "            Should.Throw<ArgumentOutOfRangeException>(() => ExistingLeafDirectory.SetCreationTime(MinimumDate.AddMilliseconds(-1))); " is 120.
Long Statement,fs4net.TestTemplates.Directory,LastAccessTimeFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\LastAccessTimeFixture.cs,LastAccessTime_On_Directory_For_Existing_File_Throws,The length of the statement  "            Should.Throw<DirectoryNotFoundException>(() => FileSystem.DirectoryDescribing(ExistingFile.PathAsString).LastAccessTime()); " is 123.
Long Statement,fs4net.TestTemplates.Directory,LastAccessTimeFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\LastAccessTimeFixture.cs,Set_LastAccessTime_Below_Min_Value_Throws,The length of the statement  "            Should.Throw<ArgumentOutOfRangeException>(() => ExistingLeafDirectory.SetLastAccessTime(MinimumDate.AddMilliseconds(-1))); " is 122.
Long Statement,fs4net.TestTemplates.Directory,LastWriteTimeFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\LastWriteTimeFixture.cs,LastWriteTime_On_Directory_For_Existing_File_Throws,The length of the statement  "            Should.Throw<DirectoryNotFoundException>(() => FileSystem.DirectoryDescribing(ExistingFile.PathAsString).LastWriteTime()); " is 122.
Long Statement,fs4net.TestTemplates.Directory,LastWriteTimeFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\LastWriteTimeFixture.cs,Set_LastWriteTime_Below_Min_Value_Throws,The length of the statement  "            Should.Throw<ArgumentOutOfRangeException>(() => ExistingLeafDirectory.SetLastWriteTime(MinimumDate.AddMilliseconds(-1))); " is 121.
Long Statement,fs4net.TestTemplates.Directory,MoveToFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\MoveToFixture.cs,Move_Directory_To_Another_Drive_Throws,The length of the statement  "                Assert.Ignore(string.Format("The test assumes that the temp directory is not on the d: drive' but it is on '{0}'"' ExistingLeafDirectory.Drive())); " is 147.
Long Statement,fs4net.TestTemplates.Directory,MoveToFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\Directory\MoveToFixture.cs,Move_Between_FileSystems_Throws,The length of the statement  "            var destination = CreateFileSystem().DirectoryDescribing((source.Parent() + RelativeDirectory.FromString("new name")).PathAsString); " is 132.
Long Statement,fs4net.TestTemplates.File,CopyToAndOverwriteFixture,D:\research\architectureSmells\repos1\toroso_fs4net\testtemplates\fs4net.TestTemplates\File\CopyToAndOverwriteFixture.cs,Copy_File_To_Another_Drive,The length of the statement  "                Assert.Ignore(string.Format("The test assumes that the temp directory is not on the d: drive' but it is on '{0}'"' ExistingFile.Drive())); " is 138.
