Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The length of the statement  "	XLinearGradientBrush brush = new XLinearGradientBrush (rect' this.backColor' this.backColor2' XLinearGradientMode.Vertical); " is 124.
Long Statement,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawGlyphs,The length of the statement  "	path.AddString ("Hello!"' new XFontFamily ("Times New Roman")' XFontStyle.BoldItalic' 100' new XRect (0' 0' 250' 140)' XStringFormats.Center); " is 142.
Long Statement,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawClipPath,The length of the statement  "	path.AddString ("Clip!"' new XFontFamily ("Verdana")' XFontStyle.Bold' 90' new XRect (0' 0' 250' 140)' XStringFormats.Center); " is 126.
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.backColor = XColor.FromArgb (212' 224' 240);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.backColor = XColor.FromArgb (212' 224' 240);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.backColor = XColor.FromArgb (212' 224' 240);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.backColor2 = XColor.FromArgb (253' 254' 254);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.backColor2 = XColor.FromArgb (253' 254' 254);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.backColor2 = XColor.FromArgb (253' 254' 254);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.borderWidth = 4.5;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.borderPen = new XPen (XColor.FromArgb (94' 118' 151)' this.borderWidth);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.borderPen = new XPen (XColor.FromArgb (94' 118' 151)' this.borderWidth);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,Base,The following statement contains a magic number: this.borderPen = new XPen (XColor.FromArgb (94' 118' 151)' this.borderWidth);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,DrawTitle,The following statement contains a magic number: rect.Inflate (-10' -15);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,DrawTitle,The following statement contains a magic number: rect.Inflate (-10' -15);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,DrawTitle,The following statement contains a magic number: rect.Offset (0' 5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,DrawTitle,The following statement contains a magic number: font = new XFont ("Verdana"' 8' XFontStyle.Italic);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,DrawTitle,The following statement contains a magic number: font = new XFont ("Verdana"' 8);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: if (number % 2 == 0)  	rect.X = 300 - 5;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: if (number % 2 == 0)  	rect.X = 300 - 5;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: if (number % 2 == 0)  	rect.X = 300 - 5;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.X = 300 - 5;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.X = 300 - 5;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Y = 40 + ((number - 1) / 2) * (200 - 5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Y = 40 + ((number - 1) / 2) * (200 - 5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Y = 40 + ((number - 1) / 2) * (200 - 5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Y = 40 + ((number - 1) / 2) * (200 - 5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Inflate (-10' -10);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Inflate (-10' -10);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: gfx.DrawRoundedRectangle (new XSolidBrush (this.shadowColor)' rect2' new XSize (dEllipse + 8' dEllipse + 8));  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: gfx.DrawRoundedRectangle (new XSolidBrush (this.shadowColor)' rect2' new XSize (dEllipse + 8' dEllipse + 8));  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Inflate (-5' -5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Inflate (-5' -5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Inflate (-10' -5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Inflate (-10' -5);  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Y += 20;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The following statement contains a magic number: rect.Height -= 20;  
Magic Number,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,GetPentagram,The following statement contains a magic number: for (int idx = 0; idx < 5; idx++) {  	points [idx].X = points [idx].X * size + center.X;  	points [idx].Y = points [idx].Y * size + center.Y;  }  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPage,The following statement contains a magic number: DrawImageScaled (gfx' 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPage,The following statement contains a magic number: DrawImageRotated (gfx' 3);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPage,The following statement contains a magic number: DrawImageSheared (gfx' 4);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPage,The following statement contains a magic number: DrawGif (gfx' 5);  
