Implementation smell,Namespace,Class,File,Method,Description
Long Statement,UnprotectDocument,Program,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\UnprotectDocument\Program.cs,Main,The length of the statement  "	File.Copy (Path.Combine ("../../../../../PDFs/"' filenameSource)' Path.Combine (Directory.GetCurrentDirectory ()' filenameDest)' true); " is 135.
Magic Number,UnprotectDocument,Program,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\UnprotectDocument\Program.cs,Main,The following statement contains a magic number: gfx.DrawString ("Some text..."' new XFont ("Times New Roman"' 12)' XBrushes.Firebrick' 50' 100);  
Magic Number,UnprotectDocument,Program,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\UnprotectDocument\Program.cs,Main,The following statement contains a magic number: gfx.DrawString ("Some text..."' new XFont ("Times New Roman"' 12)' XBrushes.Firebrick' 50' 100);  
Magic Number,UnprotectDocument,Program,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\UnprotectDocument\Program.cs,Main,The following statement contains a magic number: gfx.DrawString ("Some text..."' new XFont ("Times New Roman"' 12)' XBrushes.Firebrick' 50' 100);  
