Implementation smell,Namespace,Class,File,Method,Description
Long Statement,HelloWorld,Program,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\PageSizes\Program.cs,Main,The length of the statement  "		gfx.DrawString (pageSize.ToString ()' font' XBrushes.DarkRed' new XRect (0' 0' page.Width' page.Height)' XStringFormats.Center); " is 128.
Long Statement,HelloWorld,Program,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\PageSizes\Program.cs,Main,The length of the statement  "		gfx.DrawString (pageSize + " (landscape)"' font' XBrushes.DarkRed' new XRect (0' 0' page.Width' page.Height)' XStringFormats.Center); " is 133.
