Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Pirate.Ldap.Updater,Program,C:\repos\ppschweiz_MemberDatabase\Organigram\Pirate.Ldap.Updater\Program.cs,Main,The following statement contains a magic number: ldap.Connect ("localhost"' 389);  
Magic Number,Pirate.Ldap.Updater,Program,C:\repos\ppschweiz_MemberDatabase\Organigram\Pirate.Ldap.Updater\Program.cs,Main,The following statement contains a magic number: foreach (var line in lines) {  	var parts = line.Split (new string[] {  		"'"  	}' StringSplitOptions.None);  	var id = Convert.ToInt32 (parts [0]);  	var gn = parts [1];  	var sn = parts [2];  	var postalCode = parts [3];  	var location = parts [4];  	var street = parts [5];  	var person = persons.Where (p => p.Id == id).Single ();  	Console.WriteLine ("Ldap   Id: " + person.Id + "' Name: " + person.Givenname + " " + person.Surname);  	Console.WriteLine ("Ldap   Address: " + person.Street + "' " + person.PostalCode + " " + person.Location);  	Console.WriteLine ("Update Id: " + id + "' Name: " + gn + " " + sn);  	Console.WriteLine ("Update Address: " + street + "' " + postalCode + " " + location);  	person.Street = street;  	person.PostalCode = postalCode;  	person.Location = location;  	person.Modify (ldap);  	Console.WriteLine ("Updated.");  }  
Magic Number,Pirate.Ldap.Updater,Program,C:\repos\ppschweiz_MemberDatabase\Organigram\Pirate.Ldap.Updater\Program.cs,Main,The following statement contains a magic number: foreach (var line in lines) {  	var parts = line.Split (new string[] {  		"'"  	}' StringSplitOptions.None);  	var id = Convert.ToInt32 (parts [0]);  	var gn = parts [1];  	var sn = parts [2];  	var postalCode = parts [3];  	var location = parts [4];  	var street = parts [5];  	var person = persons.Where (p => p.Id == id).Single ();  	Console.WriteLine ("Ldap   Id: " + person.Id + "' Name: " + person.Givenname + " " + person.Surname);  	Console.WriteLine ("Ldap   Address: " + person.Street + "' " + person.PostalCode + " " + person.Location);  	Console.WriteLine ("Update Id: " + id + "' Name: " + gn + " " + sn);  	Console.WriteLine ("Update Address: " + street + "' " + postalCode + " " + location);  	person.Street = street;  	person.PostalCode = postalCode;  	person.Location = location;  	person.Modify (ldap);  	Console.WriteLine ("Updated.");  }  
Magic Number,Pirate.Ldap.Updater,Program,C:\repos\ppschweiz_MemberDatabase\Organigram\Pirate.Ldap.Updater\Program.cs,Main,The following statement contains a magic number: foreach (var line in lines) {  	var parts = line.Split (new string[] {  		"'"  	}' StringSplitOptions.None);  	var id = Convert.ToInt32 (parts [0]);  	var gn = parts [1];  	var sn = parts [2];  	var postalCode = parts [3];  	var location = parts [4];  	var street = parts [5];  	var person = persons.Where (p => p.Id == id).Single ();  	Console.WriteLine ("Ldap   Id: " + person.Id + "' Name: " + person.Givenname + " " + person.Surname);  	Console.WriteLine ("Ldap   Address: " + person.Street + "' " + person.PostalCode + " " + person.Location);  	Console.WriteLine ("Update Id: " + id + "' Name: " + gn + " " + sn);  	Console.WriteLine ("Update Address: " + street + "' " + postalCode + " " + location);  	person.Street = street;  	person.PostalCode = postalCode;  	person.Location = location;  	person.Modify (ldap);  	Console.WriteLine ("Updated.");  }  
Magic Number,Pirate.Ldap.Updater,Program,C:\repos\ppschweiz_MemberDatabase\Organigram\Pirate.Ldap.Updater\Program.cs,Main,The following statement contains a magic number: foreach (var line in lines) {  	var parts = line.Split (new string[] {  		"'"  	}' StringSplitOptions.None);  	var id = Convert.ToInt32 (parts [0]);  	var gn = parts [1];  	var sn = parts [2];  	var postalCode = parts [3];  	var location = parts [4];  	var street = parts [5];  	var person = persons.Where (p => p.Id == id).Single ();  	Console.WriteLine ("Ldap   Id: " + person.Id + "' Name: " + person.Givenname + " " + person.Surname);  	Console.WriteLine ("Ldap   Address: " + person.Street + "' " + person.PostalCode + " " + person.Location);  	Console.WriteLine ("Update Id: " + id + "' Name: " + gn + " " + sn);  	Console.WriteLine ("Update Address: " + street + "' " + postalCode + " " + location);  	person.Street = street;  	person.PostalCode = postalCode;  	person.Location = location;  	person.Modify (ldap);  	Console.WriteLine ("Updated.");  }  
