Implementation smell,Namespace,Class,File,Method,Description
Complex Method,DotNetKoans.KoanRunner,Program,C:\repos\CoryFoy_DotNetKoans\KoanRunner\Program.cs,Run,Cyclomatic complexity of the method is 11
Long Statement,DotNetKoans.KoanRunner,Program,C:\repos\CoryFoy_DotNetKoans\KoanRunner\Program.cs,Main,The length of the statement  "				KoanHelpers.IAmThePathToEnlightenment path = Activator.CreateInstance(pathType) as KoanHelpers.IAmThePathToEnlightenment; " is 121.
Long Statement,DotNetKoans.KoanRunner,Program,C:\repos\CoryFoy_DotNetKoans\KoanRunner\Program.cs,Run,The length of the statement  "                DotNetKoans.KoanAttribute custAttr = method.GetCustomAttributes(typeof(DotNetKoans.KoanAttribute)' false).FirstOrDefault() as DotNetKoans.KoanAttribute; " is 152.
Long Statement,DotNetKoans.KoanRunner,Program,C:\repos\CoryFoy_DotNetKoans\KoanRunner\Program.cs,callback,The length of the statement  "                Console.WriteLine("The test {0} has damaged your karma. The following stack trace has been declared to be at fault"' result.Attributes["name"].Value); " is 150.
